state,week_start,year,reported_cases,smoothed_cases,weekly_timing_unidentified,q025,q25,median,q75,q975
MS,2023-10-29,2023,1,1.6666666666666665,FALSE,0.8946036266024912,0.9244407467819535,0.9483385065728049,0.9680844040878172,0.9816090227489398
MS,2023-11-05,2023,3,3.6666666666666665,FALSE,0.8946176354043679,0.9244528762251978,0.9483345868179804,0.9680758960428607,0.9816015033868459
MS,2023-11-12,2023,7,3.6666666666666665,FALSE,0.8946164463519459,0.9244455312647184,0.9483035478722891,0.9680492696302553,0.9816005617947329
MS,2023-11-19,2023,1,4.333333333333333,FALSE,0.8946152550983792,0.924416919661079,0.9482809172804568,0.9680216164288441,0.9815996200184298
MS,2023-11-26,2023,5,3,FALSE,0.8946089996880952,0.9243660596333337,0.9482660130733139,0.9679837954578222,0.9815977585267875
MS,2023-12-03,2023,3,4.666666666666666,FALSE,0.8946128660499791,0.9243341821305875,0.9482590985344361,0.9679620619537835,0.9815977359160449
MS,2023-12-10,2023,6,4,FALSE,0.8946040776702612,0.9243007288598472,0.948236545867136,0.967925439672673,0.9815954147280199
MS,2023-12-17,2023,3,4.666666666666666,FALSE,0.89460034913536,0.9242852311175409,0.9482043540802387,0.9679102640404124,0.9815940128907106
MS,2023-12-24,2023,5,7.666666666666666,FALSE,0.8945915604793993,0.9242672005174041,0.9481491082774897,0.9678928134648691,0.9815916920667866
MS,2023-12-31,2023,15,12.666666666666666,FALSE,0.894560959378,0.9242313166118803,0.9480576234711129,0.9678393692987807,0.9815852368775981
MS,2024-01-07,2024,18,15,FALSE,0.8945533974036254,0.9242250147643877,0.948051562908035,0.9677966191499122,0.9815687039572762
MS,2024-01-14,2024,12,17.333333333333332,FALSE,0.8944275257424087,0.9240147137913437,0.947925410227259,0.9676998943254719,0.98140583382113
MS,2024-01-21,2024,22,15.333333333333332,FALSE,0.8942274035907402,0.9238426824420692,0.9478095186332456,0.9675976048571663,0.9813100932634665
MS,2024-01-28,2024,12,19.666666666666664,FALSE,0.894053231453956,0.9236873889894356,0.9476211189884863,0.9674851916518319,0.9812311448889233
MS,2024-02-04,2024,25,21.333333333333332,FALSE,0.893823033583679,0.9235384692160349,0.9474164299635377,0.967323739042419,0.9811633205562659
MS,2024-02-11,2024,27,32.33333333333333,FALSE,0.8935713425073772,0.9233715509588497,0.9471991757621161,0.9671323810619916,0.9810727672002679
MS,2024-02-18,2024,45,42.33333333333333,FALSE,0.8931774189775585,0.9230755953435817,0.9468961171239432,0.9669048906491565,0.9808732845745596
MS,2024-02-25,2024,55,56.33333333333333,FALSE,0.8927006163623303,0.9226914617517716,0.9466204255821389,0.9666606358989127,0.9806350490725345
MS,2024-03-03,2024,69,70.66666666666666,FALSE,0.8920090849093922,0.9221567263986952,0.9459841593970273,0.966123908764933,0.9802771670396956
MS,2024-03-10,2024,88,64.33333333333333,FALSE,0.8911191715461007,0.9214734257363701,0.9453481023963832,0.965605345079704,0.9798868675660319
MS,2024-03-17,2024,36,58.666666666666664,FALSE,0.8903954264962581,0.9208919720037567,0.9446644919107348,0.9651159364611681,0.9793552970075743
MS,2024-03-24,2024,52,56,FALSE,0.8897566260186303,0.9203037838317232,0.9440790963819677,0.9646880398744502,0.9788724769839046
MS,2024-03-31,2024,80,63.33333333333333,FALSE,0.8890925606097111,0.9197086081328437,0.943597149947116,0.9643399277189344,0.9785728039929062
MS,2024-04-07,2024,58,59.33333333333333,FALSE,0.8881970643200758,0.9191218820362859,0.9429356941884168,0.9638386641929931,0.9781196869106732
MS,2024-04-14,2024,40,44,FALSE,0.8875496886444325,0.9185360740661473,0.9423499337591118,0.9634290388358782,0.9778078959673883
MS,2024-04-21,2024,34,34.666666666666664,FALSE,0.886955239560735,0.9181097762529233,0.9418465677158823,0.9630395418167319,0.977634725701382
MS,2024-04-28,2024,30,34.33333333333333,FALSE,0.886317025192505,0.9177466955558752,0.9415037275458352,0.9627640697905422,0.9774059998893679
MS,2024-05-05,2024,39,37.33333333333333,FALSE,0.8858530405363318,0.9173461111938817,0.9410661455655129,0.9625338536785746,0.9773421737271243
MS,2024-05-12,2024,43,34.666666666666664,FALSE,0.8852527090865819,0.9169359676664744,0.9405791009716932,0.9622506671975781,0.9772316461975905
MS,2024-05-19,2024,22,26,FALSE,0.8849099623064123,0.9165319717898989,0.9403389186791594,0.96197900704462,0.9769986002863643
MS,2024-05-26,2024,13,13.666666666666666,FALSE,0.8845801225080475,0.9163146964230514,0.9402007649054243,0.961833667484362,0.9768796636164293
MS,2024-06-02,2024,6,8.666666666666666,FALSE,0.8844849951077948,0.916206227784687,0.9400819513616847,0.961723955232543,0.9768529739124384
MS,2024-06-09,2024,7,5.333333333333333,FALSE,0.8844358412940805,0.9161191054356305,0.9399762258520963,0.9616431620727984,0.97683696899653
MS,2024-06-16,2024,3,5.333333333333333,FALSE,0.8843924230890909,0.916073795663679,0.9399362133363028,0.9615971464384269,0.9768280101488442
MS,2024-06-23,2024,6,6,FALSE,0.8843490163943571,0.9159866109230352,0.9398869974145443,0.9615605277125804,0.9768190535583569
MS,2024-06-30,2024,9,5,FALSE,0.8842008599730377,0.9159531242995358,0.9398409005961144,0.9615379186876709,0.9768086913525038
MS,2024-07-07,2024,0,4.333333333333333,FALSE,0.8841305353038508,0.9159372972177124,0.939805789816621,0.9614969472495098,0.9768064447067574
MS,2024-07-14,2024,4,2.333333333333333,FALSE,0.8841017101562761,0.915934287621912,0.9397598173593134,0.9614827717661656,0.9768066057072793
MS,2024-07-21,2024,3,4.333333333333333,FALSE,0.8841016698905474,0.9159439991560159,0.9397574102372014,0.9614790724053442,0.9768109877996275
MS,2024-07-28,2024,6,4.333333333333333,FALSE,0.8840740630796751,0.9159409854452591,0.9397356831602177,0.9614496236793924,0.9768068134658673
MS,2024-08-04,2024,4,3.333333333333333,FALSE,0.8840464623041021,0.9159111432868473,0.9397172745163296,0.961417719783462,0.9767655636769232
MS,2024-08-11,2024,0,1.6666666666666665,FALSE,0.8840326454189462,0.9158803407288691,0.9397025059269978,0.9613960748323626,0.9767613625234439
MS,2024-08-18,2024,1,1.3333333333333333,FALSE,0.8840417899220965,0.9158859729141239,0.939700125743984,0.9613910474782088,0.9767657985546684
MS,2024-08-25,2024,3,1.3333333333333333,FALSE,0.88405552025542,0.9158982471736854,0.9397100923922861,0.9613883854858967,0.97677119380141
MS,2024-09-01,2024,0,2.333333333333333,FALSE,0.8840692437521886,0.9159105157228874,0.9397106202865195,0.9613857235349577,0.9767765868673222
MS,2024-09-08,2024,4,2,FALSE,0.8840691908277973,0.9159137524575598,0.939691967144548,0.961371750047053,0.9767790167475147
MS,2024-09-15,2024,2,2.6666666666666665,FALSE,0.8840737245355773,0.915919994521663,0.9396690093615419,0.9613682116285154,0.9767823907694879
MS,2024-09-22,2024,2,3.666666666666666,FALSE,0.884069278943043,0.9159202171391021,0.9396601130287237,0.9613589178811928,0.9767838122578126
MS,2024-09-29,2024,7,4.333333333333333,FALSE,0.8840512633202742,0.9159114157190398,0.9396414167712368,0.9613422276549847,0.976782306758609
MS,2024-10-06,2024,4,4.333333333333333,FALSE,0.8840241469412624,0.9158792463364884,0.9396160358138688,0.9613122367562148,0.9767788507857356
MS,2024-10-13,2024,2,3,FALSE,0.8839970364422308,0.9158295726829128,0.9395785837173883,0.9612854283876864,0.9767753264971771
MS,2024-10-20,2024,3,1.6666666666666665,FALSE,0.8839958012241769,0.9158217260201669,0.93957957925830915,0.9612707563369396,0.9767756517207047
MS,2024-10-27,2024,0,1,FALSE,0.8840140628939902,0.915828640994732,0.9395906662291684,0.9612682151075275,0.9767799267823551
MS,2024-11-03,2024,0,1.3333333333333333,FALSE,0.8840380026475413,0.915842448226233,0.9396028907095549,0.9612749566842472,0.9767861749530863
MS,2024-11-10,2024,4,2,FALSE,0.8840590895401756,0.9158563444473911,0.9395988852323426,0.9612809188702998,0.9767914333683596
MS,2024-11-17,2024,2,2.333333333333333,FALSE,0.8840744825382189,0.9158664928014455,0.9395793440022411,0.9612772358920821,0.9767947152987684
MS,2024-11-24,2024,1,1,FALSE,0.8840870261915588,0.9158742575821284,0.9395536661411741,0.9612708247464211,0.9767970086657323
