state,wave_id,S_onset_q025,S_onset_q25,S_onset_median,S_onset_q75,S_onset_q975,n_draws
RN,RN_wave_04,0.983735393939376,0.9885918750782511,0.9906279073699731,0.9926743452890614,0.99603747437088,4000
RN,RN_wave_05,0.9779024316858947,0.9835214121076759,0.986231414255775,0.9888757440586035,0.9933192936309313,4000
RN,RN_wave_06,0.9716095498508586,0.9782612585991541,0.9815455253671983,0.9847056758045241,0.9901331457148723,4000
RN,RN_wave_07,0.9608727666824177,0.969579074666558,0.9731375139683999,0.976451789057728,0.9824125255640773,4000
RN,RN_wave_08,0.9537641169522144,0.9627992303961763,0.9670995282396897,0.9708618891693085,0.9772731875494169,4000
RN,RN_wave_09,0.9472035953855231,0.9570266235128008,0.9613310967795202,0.965519191754638,0.9725160083151232,4000
RN,RN_wave_10,0.9372994106320269,0.948929756080278,0.9541586855629965,0.9587052870615178,0.9664707574842926,4000
RN,RN_wave_11,0.9344625299675622,0.9457649555150438,0.9511589541755356,0.9557379482127747,0.9638290508814854,4000
RN,RN_wave_12,0.9289094855031009,0.9407040725573461,0.9463671982314666,0.9511744909103108,0.9597315474386601,4000
SC,SC_wave_19,0.9185701585126242,0.9470572172383841,0.9640046083616279,0.9722325357762955,0.9814015266953857,4000
SE,SE_wave_02,1.0009713826039028,1.0010596194449004,1.001111715463343,1.0011622575737478,1.0012145780682018,4000
SE,SE_wave_03,0.9921399717364614,0.9947769272807061,0.9962738092085803,0.9977282123373079,0.9992182521862651,4000
SE,SE_wave_04,0.9774388154201649,0.9852074302516459,0.9878664475562442,0.9900944647361366,0.9940874262407641,4000
SE,SE_wave_07,0.9705249863763827,0.9778915328398845,0.9815491712923349,0.9849251218337174,0.9905753034078935,4000
SE,SE_wave_08,0.9649377382803621,0.973436932976472,0.9777489617821047,0.9819030692057695,0.9883773801152028,4000
SE,SE_wave_09,0.9562530549514634,0.9662390868159316,0.970830734728567,0.9752122882653751,0.9823014755710558,4000
SE,SE_wave_10,0.9483099549710747,0.9593101857588923,0.9642247972900536,0.9689081194602802,0.9761414521305692,4000
SE,SE_wave_11,0.9315842620302317,0.9465148001911967,0.952760510711613,0.9581313532793571,0.9664068852680121,4000
