year,age,share
2020,58,0.009472581614530262
2020,59,0.00894046791612347
2020,60,0.008407048150140305
2020,61,0.00785327549775868
2020,62,0.007381893941653173
2020,63,0.007042860566620004
2020,64,0.00679144255816844
2020,65,0.006520324697106603
2020,66,0.006244091404703976
2020,67,0.0059904966169584606
2020,68,0.005757037037682009
2020,69,0.005536638134169275
2020,70,0.005317001103409424
2020,71,0.0051063977067194784
2020,72,0.0048588979009970305
2020,73,0.004549142207467528
2020,74,0.004207932053140407
2020,75,0.003865851187095704
2020,76,0.0035061384087699825
2020,77,0.003214558822344988
2020,78,0.003015383516948295
2020,79,0.002872151439406192
2020,80,0.0027063896961716763
2020,81,0.0025381246567491153
2020,82,0.0023362283772349808
2020,83,0.002078824225725047
2020,84,0.0018003053150637699
2020,85,0.001536153147742582
2020,86,0.0012765722169386952
2020,87,0.0010739140646716776
2020,88,9.37974197764317e-4
2020,89,8.416517140069e-4
2020,90,3.28080217404051e-4
2020,91,3.28080217404051e-4
2020,92,3.28080217404051e-4
2020,93,3.28080217404051e-4
2020,94,3.28080217404051e-4
2020,95,3.28080217404051e-4
2020,96,3.28080217404051e-4
2020,97,3.28080217404051e-4
2020,98,3.28080217404051e-4
2020,99,3.28080217404051e-4
2020,100,3.28080217404051e-4
2021,0,0.01408763596204284
2021,1,0.014167710704240045
2021,2,0.01424529663688247
2021,3,0.014311520612861778
2021,4,0.01406242323916183
2021,5,0.014184807743790257
2021,6,0.014208830166449419
2021,7,0.013749915326370581
2021,8,0.01371907572971355
2021,9,0.013883986414995358
2021,10,0.014009941820289338
2021,11,0.014132001697584535
2021,12,0.014417240914384302
2021,13,0.014682245027412614
2021,14,0.014879402027795459
2021,15,0.01517167483681525
2021,16,0.015088462030396805
2021,17,0.014949737949995705
2021,18,0.015382574394304911
2021,19,0.015886937061036215
2021,20,0.016347583246892287
2021,21,0.017067823090222808
2021,22,0.017667409774702138
2021,23,0.01803023492414433
2021,24,0.018016167739704284
2021,25,0.017771506939558503
2021,26,0.017589174587393248
2021,27,0.017391151914121786
2021,28,0.017224293464840588
2021,29,0.0171532000788628
2021,30,0.01714118886753322
2021,31,0.01712398361887193
2021,32,0.017119005999762373
2021,33,0.01703049094690114
2021,34,0.016822837662743798
2021,35,0.016539005164388037
2021,36,0.01622909427026264
2021,37,0.015872978085707243
2021,38,0.015526384302926645
2021,39,0.015213659971913243
2021,40,0.014914245361562349
2021,41,0.014579662790111332
2021,42,0.014232744379997503
2021,43,0.013870784903443928
2021,44,0.013483288076676111
2021,45,0.013081940483690399
2021,46,0.012675939898928361
2021,47,0.012255006456837659
2021,48,0.011926591804718048
2021,49,0.011734845259889068
2021,50,0.011619494347480665
2021,51,0.011488777741299284
2021,52,0.011365743982004392
2021,53,0.01120462061561029
2021,54,0.010975758345681796
2021,55,0.010684134791328468
2021,56,0.0103988955745287
2021,57,0.01013746236216594
2021,58,0.009794872316495203
2021,59,0.009337472403971448
2021,60,0.008793288784363697
2021,61,0.008249538001200256
2021,62,0.007706652890925433
2021,63,0.007244058941069967
2021,64,0.006911856970062651
2021,65,0.006647177484367571
2021,66,0.0063644270771225815
2021,67,0.006095202808762254
2021,68,0.005847403944395233
2021,69,0.005619948392910745
2021,70,0.005376369683875739
2021,71,0.005135279784395511
2021,72,0.004931846655570183
2021,73,0.004692812729200423
2021,74,0.0043937227461827615
2021,75,0.004031438642295955
2021,76,0.0036726172299636223
2021,77,0.003330784648070426
2021,78,0.0030540939510457655
2021,79,0.002865052633993719
2021,80,0.0026931083564918864
2021,81,0.0025019028572182945
2021,82,0.002346947410155598
2021,83,0.0021602866935472526
2021,84,0.0019225512765104207
2021,85,0.001633308322600793
2021,86,0.0013646250997958527
2021,87,0.0011341396932012
2021,88,9.542961505907243e-4
2021,89,8.335347826284556e-4
2021,90,3.300771375534349e-4
2021,91,3.300771375534349e-4
2021,92,3.300771375534349e-4
2021,93,3.300771375534349e-4
2021,94,3.300771375534349e-4
2021,95,3.300771375534349e-4
2021,96,3.300771375534349e-4
2021,97,3.300771375534349e-4
2021,98,3.300771375534349e-4
2021,99,3.300771375534349e-4
2021,100,3.300771375534349e-4
