week,week_start,calendar_year,entrants_total,entrants_susceptible,doses,effective,birth_cohort
1619,2046-01-07,2046,1860.0872052441746,1932.6793557197016,1674.0784847197572,1391.5291361181853,2034
1620,2046-01-14,2046,1860.0786691969897,1932.7385558964495,1674.0708022772908,1391.5717602454438,2034
1621,2046-01-21,2046,1860.0702239558816,1932.7979029883215,1674.0632015602935,1391.6144901515918,2034
1622,2046-01-28,2046,1860.0618686088778,1932.857314643641,1674.05568174799,1391.6572665434217,2034
1623,2046-02-04,2046,1860.0536022524052,1932.9168046147586,1674.0482420271646,1391.7000993226263,2034
1624,2046-02-11,2046,1860.0454239912206,1932.9763068616192,1674.0408815920985,1391.742940940366,2034
1625,2046-02-18,2046,1860.037332938343,1933.0358133577956,1674.0335996445087,1391.785785617613,2034
1626,2046-02-25,2046,1860.0293282149912,1933.095283229802,1674.026395393492,1391.8286039254576,2034
1627,2046-03-04,2046,1860.0214089505118,1933.1547265003028,1674.0192680554608,1391.8714030802182,2034
1628,2046-03-11,2046,1860.0135742823186,1933.214041116359,1674.0122168540868,1391.9141096037788,2034
1629,2046-03-18,2046,1860.0058233558243,1933.2732378468672,1674.005241020242,1391.9567312497445,2034
1630,2046-03-25,2046,1859.998155324374,1933.3322928666428,1673.9983397919366,1391.999250863983,2034
1631,2046-04-01,2046,1859.9905693491833,1933.3911873786417,1673.991512414265,1392.041654912622,2034
1632,2046-04-08,2046,1859.9830645992722,1933.4499117634327,1673.984758139345,1392.0839364696717,2034
1633,2046-04-15,2046,1859.975640251401,1933.5084659549507,1673.978076226261,1392.1260954875647,2034
1634,2046-04-22,2046,1859.9682954900059,1933.5668194398957,1673.9714659410054,1392.168109996725,2034
1635,2046-04-29,2046,1859.9610295071357,1933.6249664217144,1673.9649265564221,1392.2099758236345,2034
1636,2046-05-06,2046,1859.953841502389,1933.6829057887198,1673.9584573521502,1392.2516921678784,2034
1637,2046-05-13,2046,1859.9467306828517,1933.7406183352955,1673.9520576145665,1392.293245201413,2034
1638,2046-05-20,2046,1859.939696263034,1933.7980774924229,1673.9457266367306,1392.3346157945446,2034
1639,2046-05-27,2046,1859.9327374648076,1933.855284620179,1673.9394637183268,1392.375804926529,2034
1640,2046-06-03,2046,1859.9258535173456,1933.9122235569284,1673.933268165611,1392.4168009609887,2034
1641,2046-06-10,2046,1859.9190436570605,1933.9688805215499,1673.9271392913545,1392.4575939755161,2034
1642,2046-06-17,2046,1859.912307127543,1934.0252395544408,1673.9210764147888,1392.4981724791976,2034
1643,2046-06-24,2046,1859.905643179503,1934.081301244542,1673.9150788615527,1392.5385368960704,2034
1644,2046-07-01,2046,1859.8990510707079,1934.1370363382873,1673.909145963637,1392.578666163567,2034
1645,2046-07-08,2046,1859.8925300659243,1934.192419268189,1673.903277059332,1392.6185418730963,2034
1646,2046-07-15,2046,1859.886079436859,1934.2473642204031,1673.8974714931733,1392.6581022386904,2034
1647,2046-07-22,2046,1859.8796984620983,1934.3018917092231,1673.8917286158885,1392.6973620306408,2034
1648,2046-07-29,2046,1859.8733864270534,1934.3559503502001,1673.8860477843482,1392.7362842521443,2034
1649,2046-08-05,2046,1859.8671426239007,1934.409419157857,1673.8804283615107,1392.7747817936572,2034
1650,2046-08-12,2046,1859.860966351524,1934.4623099197997,1673.8748697163717,1392.812863142256,2034
1651,2046-08-19,2046,1859.8548569154582,1934.5145453099983,1673.8693712239124,1392.850472623199,2034
1652,2046-08-26,2046,1859.8488136278347,1934.5660839643308,1673.8639322650513,1392.8875804543184,2034
1653,2046-09-02,2046,1859.842835807323,1934.6168997124823,1673.8585522265907,1392.9241677929874,2034
1654,2046-09-09,2046,1859.836922779077,1934.6670324263089,1673.8532305011693,1392.9602633469426,2034
1655,2046-09-16,2046,1859.831073874681,1934.716368110939,1673.847966487213,1392.9957850398762,2034
1656,2046-09-23,2046,1859.8252884320923,1934.7649750120152,1673.8427595888832,1393.0307820086512,2034
1657,2046-09-30,2046,1859.8195657955898,1934.812863605509,1673.8376092160308,1393.0652617959665,2034
1658,2046-10-07,2046,1859.8139053157204,1934.8600600938871,1673.8325147841483,1393.099243267599,2034
1659,2046-10-14,2046,1859.808306349244,1934.9067010523074,1673.8274757143197,1393.1328247576614,2034
1660,2046-10-21,2046,1859.8027682590832,1934.952921696984,1673.822491433175,1393.1661036218286,2034
1661,2046-10-28,2046,1859.7972904142691,1934.9987989377644,1673.8175613728422,1393.1991352351906,2034
1662,2046-11-04,2046,1859.7918721898916,1935.0445396415912,1673.8126849709024,1393.2320685419459,2034
1663,2046-11-11,2046,1859.7865129670458,1935.0902194880039,1673.8078616703413,1393.264958031363,2034
1664,2046-11-18,2046,1859.7812121327827,1935.135922050845,1673.8030909195045,1393.2978638766085,2034
1665,2046-11-25,2046,1859.7759690800574,1935.1817267905565,1673.7983721720516,1393.3308432892009,2034
1666,2046-12-02,2046,1859.7707832076803,1935.2277103840772,1673.7937048869123,1393.3639514765357,2034
1667,2046-12-09,2046,1859.7680815008082,1935.2752230146218,1673.7912733507274,1393.3981605705278,2034
1668,2046-12-16,2046,1859.7630083083425,1935.321657112285,1673.7867074775083,1393.4315931208455,2034
1669,2046-12-23,2046,1859.7579905551947,1935.368311045993,1673.7821914996753,1393.4651839531152,2034
1670,2046-12-30,2046,1859.7530276619593,1935.4152074523126,1673.7777248957634,1393.4989493656653,2034
1671,2047-01-06,2047,1859.74811905487,1935.4622782986792,1673.7733071493828,1393.532840375049,2035
1672,2047-01-13,2047,1859.74326416575,1935.5095213291359,1673.768937749175,1393.566855356978,2035
1673,2047-01-20,2047,1859.7384624319645,1935.5568613840965,1673.764616188768,1393.6009401965496,2035
1674,2047-01-27,2047,1859.7337132963721,1935.6043091459676,1673.760341966735,1393.6351025850968,2035
1675,2047-02-03,2047,1859.7290162072763,1935.651803694419,1673.7561145865488,1393.669298659982,2035
1676,2047-02-10,2047,1859.7243706183779,1935.6993344320604,1673.75193355654,1393.7035207910835,2035
1677,2047-02-17,2047,1859.719775988728,1935.7468660471823,1673.7477983898552,1393.7377435539713,2035
1678,2047-02-24,2047,1859.715231782681,1935.7944048471595,1673.7437086044129,1393.771971489955,2035
1679,2047-03-03,2047,1859.7107374698467,1935.8418567803228,1673.7396637228621,1393.8061368818326,2035
1680,2047-03-10,2047,1859.7062925250445,1935.889231968259,1673.73566327254,1393.8402470171468,2035
1681,2047-03-17,2047,1859.7018964282554,1935.9365070283109,1673.7317067854299,1393.874285060384,2035
1682,2047-03-24,2047,1859.6975486645795,1935.9836633034697,1673.7277937981216,1393.9082375784983,2035
1683,2047-03-31,2047,1859.6932487241857,1936.030695250479,1673.723923851767,1393.9421005803451,2035
1684,2047-04-07,2047,1859.6889961022696,1936.077600109725,1673.7200964920426,1393.975872079002,2035
1685,2047-04-14,2047,1859.684790299005,1936.1243512465899,1673.7163112691046,1394.009532897545,2035
1686,2047-04-21,2047,1859.680630819502,1936.1709404563637,1673.7125677375518,1394.0430771285821,2035
1687,2047-04-28,2047,1859.6765171737613,1936.2173687927357,1673.7088654563852,1394.0765055307697,2035
1688,2047-05-05,2047,1859.6724488766267,1936.263615685597,1673.705203988964,1394.10980329363,2035
1689,2047-05-12,2047,1859.668425447747,1936.309660644672,1673.7015829029724,1394.142955664164,2035
1690,2047-05-19,2047,1859.6644464115254,1936.3554999226017,1673.698001770373,1394.1759599442735,2035
1691,2047-05-26,2047,1859.660511297081,1936.4011208804052,1673.6944601673729,1394.2088070338918,2035
1692,2047-06-02,2047,1859.6566196382034,1936.4465094812797,1673.690957674383,1394.2414868265216,2035
1693,2047-06-09,2047,1859.6527709733107,1936.4916518909881,1673.6874938759797,1394.2739893615117,2035
1694,2047-06-16,2047,1859.6489648454055,1936.5365477458472,1673.684068360865,1394.30631437701,2035
1695,2047-06-23,2047,1859.6452008020349,1936.5811693120872,1673.6806807218313,1394.338441904703,2035
1696,2047-06-30,2047,1859.641478395246,1936.6254916038101,1673.6773305557215,1394.3703539547435,2035
1697,2047-07-07,2047,1859.6377971815484,1936.6694323621948,1673.6740174633935,1394.4019913007805,2035
1698,2047-07-14,2047,1859.6341567218683,1936.713011293091,1673.6707410496815,1394.4333681310256,2035
1699,2047-07-21,2047,1859.630556581512,1936.7561813769914,1673.6675009233609,1394.464450591434,2035
1700,2047-07-28,2047,1859.626996330123,1936.7988253215071,1673.6642966971106,1394.4951542314852,2035
1701,2047-08-04,2047,1859.6234755416433,1936.8409562160211,1673.661127987479,1394.5254884755354,2035
1702,2047-08-11,2047,1859.6199937942731,1936.8825014614129,1673.657994414846,1394.5554010522173,2035
1703,2047-08-18,2047,1859.6165506704328,1936.9234218738623,1673.6548956033896,1394.584863749181,2035
