muni6,total_cases,active_months,active_years,peak_year_cases,outbreak_years,active_month_frac,active_year_frac,peak_year_share,episodes,recurrence_index,persistence_index,concentration_index,pattern_class
130002,64,15,5,36,2,0.125,0.5,0.5625,8,0.5,0.125,0.5625,recurrent
130006,2,2,1,2,0,0.016666666666666666,0.1,1,2,0.1,0.016666666666666666,1,sporadic
130010,3,2,2,2,0,0.016666666666666666,0.2,0.6666666666666666,2,0.2,0.016666666666666666,0.6666666666666666,sporadic
130014,4,4,3,2,0,0.03333333333333333,0.3,0.5,4,0.3,0.03333333333333333,0.5,intermediate
130020,9,7,4,6,1,0.058333333333333334,0.4,0.6666666666666666,6,0.4,0.058333333333333334,0.6666666666666666,intermediate
130030,8,7,4,3,1,0.058333333333333334,0.4,0.375,6,0.4,0.058333333333333334,0.375,recurrent
130040,21,15,6,9,3,0.125,0.6,0.42857142857142855,12,0.6,0.125,0.42857142857142855,recurrent
130050,8,8,4,4,1,0.06666666666666667,0.4,0.5,7,0.4,0.06666666666666667,0.5,recurrent
130060,7,5,4,2,0,0.041666666666666664,0.4,0.2857142857142857,5,0.4,0.041666666666666664,0.2857142857142857,recurrent
130063,22,13,4,10,2,0.10833333333333334,0.4,0.45454545454545453,6,0.4,0.10833333333333334,0.45454545454545453,recurrent
130068,1,1,1,1,0,0.008333333333333333,0.1,1,1,0.1,0.008333333333333333,1,sporadic
130070,25,16,9,8,4,0.13333333333333333,0.9,0.32,13,0.9,0.13333333333333333,0.32,recurrent
130080,255,53,9,83,5,0.44166666666666665,0.9,0.3254901960784314,16,0.9,0.44166666666666665,0.3254901960784314,recurrent
130083,4,4,3,2,0,0.03333333333333333,0.3,0.5,4,0.3,0.03333333333333333,0.5,intermediate
130090,12,7,4,8,1,0.058333333333333334,0.4,0.6666666666666666,6,0.4,0.058333333333333334,0.6666666666666666,intermediate
130100,197,29,5,95,3,0.24166666666666667,0.5,0.48223350253807107,6,0.5,0.24166666666666667,0.48223350253807107,recurrent
130110,6,6,5,2,0,0.05,0.5,0.3333333333333333,6,0.5,0.05,0.3333333333333333,recurrent
130115,6,6,4,3,1,0.05,0.4,0.5,6,0.4,0.05,0.5,recurrent
130120,103,23,8,50,2,0.19166666666666668,0.8,0.4854368932038835,15,0.8,0.19166666666666668,0.4854368932038835,recurrent
130130,8,5,4,4,1,0.041666666666666664,0.4,0.5,4,0.4,0.041666666666666664,0.5,recurrent
130140,6,5,3,4,1,0.041666666666666664,0.3,0.6666666666666666,5,0.3,0.041666666666666664,0.6666666666666666,intermediate
130150,2,2,2,1,0,0.016666666666666666,0.2,0.5,2,0.2,0.016666666666666666,0.5,sporadic
130160,1,1,1,1,0,0.008333333333333333,0.1,1,1,0.1,0.008333333333333333,1,sporadic
