mode,draw,case_loglik,serology_loglik,q_prior_logdensity,other_priors_logdensity,lp__,q,alpha_R
low_q,147,-1223.359080572275,-4.549853065698983,-1.154874054919638,-9.672091990469287,-1454.7728453923476,0.04131344285811137,0.24224097292660104
low_q,148,-1223.9961507082558,-4.202944819636485,-1.145642480130262,-9.503834301790569,-1454.7941593490712,0.05525490669152565,0.20513447983060196
low_q,149,-1222.6394206109633,-4.38463263415818,-1.1594950547050833,-9.6080299734271,-1453.7534775882211,0.040013191780476375,0.23165575293274554
low_q,150,-1224.4379987985417,-4.418814238937671,-1.1432425245114317,-9.992369906023768,-1455.905816437975,0.04721586672949344,0.23370246803272646
low_q,151,-1221.6602460911995,-4.235919583435788,-1.1421064965504586,-9.397669499827398,-1452.323763662727,0.05041651259178334,0.2116217014448781
low_q,152,-1223.8972250233076,-4.217306790290053,-1.1420963406610682,-9.92481154131194,-1454.9716736247233,0.05031799801680149,0.1864759872716322
low_q,153,-1223.0145901411552,-4.647007905054323,-1.1486662409762662,-9.811401267524731,-1454.5270555797483,0.04360994709171888,0.2510331524823431
low_q,154,-1226.2271684126413,-4.201388171713091,-1.1426892483736784,-9.735800643720939,-1457.1507666151979,0.05211008002752017,0.19691565157975865
low_q,155,-1225.577458552684,-4.3094530930544295,-1.1617930863067851,-9.452378594636514,-1456.4189479526437,0.06319489195318516,0.17717194847320428
low_q,156,-1226.7042472356782,-4.220074470735511,-1.1505027083745134,-9.793395287277583,-1457.7350055013992,0.04283352379907124,0.2063743762844484
low_q,157,-1226.4668388720143,-4.27300549706689,-1.167236572553482,-9.621130202748088,-1457.3807384244697,0.06512719993147956,0.1800321166685429
low_q,158,-1225.1490061647785,-4.302586852738301,-1.1532115293237675,-10.015224977731563,-1456.6765723777196,0.0596394379976178,0.1697259642008953
low_q,159,-1225.04397623738,-4.198648058409788,-1.143171234601486,-10.731455648878104,-1456.864056399479,0.04730047112720134,0.19451240581396137
low_q,160,-1223.922180515827,-4.392578838514595,-1.1458215270013066,-10.71785878962013,-1456.1563271379225,0.05539181958216107,0.2277798455441032
low_q,161,-1224.5888132746772,-4.448609833096043,-1.1520392867172853,-9.320672656450173,-1455.1850336090247,0.04225588575888778,0.2396335304120883
low_q,162,-1228.6724469633537,-4.201096993765532,-1.1487925572479956,-9.545400812332126,-1459.5694782801152,0.05734428280507535,0.19933230049983414
low_q,163,-1226.5938157812752,-4.206800963043207,-1.1454980586435914,-9.702452699403977,-1457.7544857019186,0.055142182174079485,0.18401176564725713
low_q,164,-1223.385255295078,-4.219939073325776,-1.152688107560525,-9.44528443042677,-1454.1431183816778,0.04202755954299618,0.21406566550138245
low_q,165,-1223.2100392885438,-4.769340405177218,-1.16386263046255,-9.773758292164057,-1454.9708447338915,0.03896563156466017,0.25894522183998714
low_q,166,-1222.168942174607,-4.308752761256386,-1.1427101932432222,-9.703676300335422,-1453.36300981761,0.05214688838458708,0.220402919699783
low_q,167,-1231.8881190954169,-4.327740325884463,-1.1421159557900467,-9.970258290633865,-1463.3116320699694,0.04951356530868567,0.2251810398149178
low_q,168,-1233.2322201251604,-4.477647839520785,-1.1540668586182614,-9.643449751292438,-1464.3632871017667,0.06003512475380683,0.16511780937615167
low_q,169,-1223.1238829700999,-4.349822590836453,-1.1472110606872596,-9.928157099258435,-1454.5066740540474,0.04431772005022066,0.22754266694522235
low_q,170,-1229.5857129041333,-4.320145017878929,-1.1442160573195375,-10.476257247394535,-1461.7169212675399,0.054024599047590244,0.22632102970203818
low_q,171,-1223.352308914403,-4.731534140999571,-1.1551043725768504,-10.362027836180548,-1455.5202621338383,0.04124253035026864,0.2534640932986966
low_q,172,-1227.5335051450252,-4.366100689975298,-1.1612945077430723,-9.509469641526731,-1458.6694340983483,0.03956402079546968,0.22626189946124156
low_q,173,-1221.8181524038569,-4.233269429017014,-1.1437928898617578,-9.551226128795818,-1452.649219015596,0.04663897270579869,0.21335515510922545
low_q,174,-1227.1016577285493,-4.256011442571946,-1.1497870611447667,-9.957654263223898,-1458.5638331512575,0.05790687901350161,0.17521214789744868
low_q,175,-1225.783224364641,-4.298548027407918,-1.1428337647187015,-9.975074406640367,-1457.2306355722185,0.05235301678461103,0.2180849525519481
low_q,176,-1225.2179556243445,-4.303010645401855,-1.148876229616074,-9.873828127292231,-1456.407418466743,0.04351539099518858,0.22385924471261925
low_q,177,-1224.8864359942377,-4.206372859998055,-1.1577486762530471,-9.677459992113514,-1456.0496552710608,0.061619669458391826,0.18496569844282632
low_q,178,-1223.4576454048574,-4.293532807497144,-1.149221912921166,-9.64754258662996,-1454.4792782036193,0.05759132433079172,0.17539020682671963
low_q,179,-1222.5411473936567,-4.692571850128985,-1.1556668102957235,-9.764515317494023,-1454.1138605717454,0.041072429645525786,0.25248852724917614
low_q,180,-1226.752751065008,-4.28779171279254,-1.1421236753650894,-9.376106568199777,-1457.445664866801,0.04946124602644046,0.22466522090325983
