state,week_start,reported_cases,population,incidence_raw,incidence_smooth
AC,2020-12-20,1,863657,0.11578670699131717,0.11578670699131717
AC,2020-12-27,0,863657,0,0.26891850478537443
AC,2021-01-03,6,868346,0.6909688073648061,1.1132275229766322
AC,2021-01-10,23,868346,2.6487137615650904,1.612260550517881
AC,2021-01-17,13,868346,1.4970990826237467,1.689034862447304
AC,2021-01-24,8,868346,0.9212917431530749,0.9212917431530749
AC,2021-01-31,3,868346,0.3454844036824031,0.6525816514000947
AC,2021-02-07,6,868346,0.6909688073648061,0.6909688073648061
AC,2021-02-14,9,868346,1.0364532110472093,1.0748403670119206
AC,2021-02-21,13,868346,1.4970990826237467,1.612260550517881
AC,2021-02-28,20,868346,2.3032293578826875,2.0729064220944187
AC,2021-03-07,21,868346,2.4183908257768216,2.610326605600379
AC,2021-03-14,27,868346,3.1093596331416276,2.034519266129707
AC,2021-03-21,5,868346,0.5758073394706719,1.3819376147296123
AC,2021-03-28,4,868346,0.46064587157653747,0.38387155964711456
AC,2021-04-04,1,868346,0.11516146789413437,0.19193577982355728
AC,2021-04-11,0,868346,0,0.038387155964711456
AC,2021-04-18,0,868346,0,0.11516146789413435
AC,2021-04-25,3,868346,0.3454844036824031,0.11516146789413435
AC,2021-05-02,0,868346,0,0.15354862385884582
AC,2021-05-09,1,868346,0.11516146789413437,0.11516146789413437
AC,2021-05-16,2,868346,0.23032293578826873,0.15354862385884582
AC,2021-05-23,1,868346,0.11516146789413437,0.19193577982355728
AC,2021-05-30,2,868346,0.23032293578826873,0.30709724771769165
AC,2021-06-06,5,868346,0.5758073394706719,0.2687100917529802
AC,2021-06-13,0,868346,0,0.19193577982355728
AC,2021-06-20,0,868346,0,0.15354862385884582
AC,2021-06-27,4,868346,0.46064587157653747,0.19193577982355728
AC,2021-07-04,1,868346,0.11516146789413437,0.19193577982355728
AC,2021-07-11,0,868346,0,0.11516146789413437
AC,2021-07-18,2,868346,0.23032293578826873,0.07677431192942291
AC,2021-07-25,0,868346,0,0.07677431192942291
AC,2021-08-01,0,868346,0,0
AC,2021-08-08,0,868346,0,0
AC,2021-08-15,0,868346,0,0
AC,2021-08-22,0,868346,0,0
AC,2021-08-29,0,868346,0,0
AC,2021-09-05,0,868346,0,0.038387155964711456
AC,2021-09-12,1,868346,0.11516146789413437,0.15354862385884582
AC,2021-09-19,3,868346,0.3454844036824031,0.19193577982355728
AC,2021-09-26,1,868346,0.11516146789413437,0.26871009175298016
AC,2021-10-03,3,868346,0.3454844036824031,0.19193577982355728
AC,2021-10-10,1,868346,0.11516146789413437,0.19193577982355728
AC,2021-10-17,1,868346,0.11516146789413437,0.23032293578826873
AC,2021-10-24,4,868346,0.46064587157653747,0.46064587157653747
AC,2021-10-31,7,868346,0.8061302752589407,0.5758073394706719
AC,2021-11-07,4,868346,0.46064587157653747,0.49903302754124895
AC,2021-11-14,2,868346,0.23032293578826873,0.23032293578826873
AC,2021-11-21,0,868346,0,0.07677431192942291
AC,2021-11-28,0,868346,0,0
AC,2021-12-05,0,868346,0,0
AC,2021-12-12,0,868346,0,0.038387155964711456
AC,2021-12-19,1,868346,0.11516146789413437,0.038387155964711456
AC,2021-12-26,0,868346,0,0.038387155964711456
AC,2022-01-02,0,872566,0,0.038201503763994164
AC,2022-01-09,1,872566,0.11460451129198249,0.07640300752798833
AC,2022-01-16,1,872566,0.11460451129198249,0.11460451129198249
AC,2022-01-23,1,872566,0.11460451129198249,0.07640300752798833
AC,2022-01-30,0,872566,0,0.038201503763994164
AC,2022-02-06,0,872566,0,0.07640300752798833
AC,2022-02-13,2,872566,0.22920902258396497,0.11460451129198249
AC,2022-02-20,1,872566,0.11460451129198249,0.15280601505597666
AC,2022-02-27,1,872566,0.11460451129198249,0.11460451129198249
AC,2022-03-06,1,872566,0.11460451129198249,0.07640300752798833
AC,2022-03-13,0,872566,0,0.038201503763994164
AC,2022-03-20,0,872566,0,0.038201503763994164
AC,2022-03-27,1,872566,0.11460451129198249,0.038201503763994164
AC,2022-04-03,0,872566,0,0.038201503763994164
AC,2022-04-10,0,872566,0,0.07640300752798833
AC,2022-04-17,2,872566,0.22920902258396497,0.07640300752798833
AC,2022-04-24,0,872566,0,0.07640300752798833
AC,2022-05-01,0,872566,0,0
AC,2022-05-08,0,872566,0,0
AC,2022-05-15,0,872566,0,0
AC,2022-05-22,0,872566,0,0.038201503763994164
AC,2022-05-29,1,872566,0.11460451129198249,0.038201503763994164
AC,2022-06-05,0,872566,0,0.07640300752798833
AC,2022-06-12,1,872566,0.11460451129198249,0.038201503763994164
AC,2022-06-19,0,872566,0,0.038201503763994164
AC,2022-06-26,0,872566,0,0.07640300752798833
AC,2022-07-03,2,872566,0.22920902258396497,0.07640300752798833
AC,2022-07-10,0,872566,0,0.07640300752798833
AC,2022-07-17,0,872566,0,0
AC,2022-07-24,0,872566,0,0
AC,2022-07-31,0,872566,0,0
AC,2022-08-07,0,872566,0,0
AC,2022-08-14,0,872566,0,0
AC,2022-08-21,0,872566,0,0
AC,2022-08-28,0,872566,0,0
AC,2022-09-04,0,872566,0,0.038201503763994164
AC,2022-09-11,1,872566,0.11460451129198249,0.038201503763994164
AC,2022-09-18,0,872566,0,0.038201503763994164
AC,2022-09-25,0,872566,0,0
AC,2022-10-02,0,872566,0,0
AC,2022-10-09,0,872566,0,0
AC,2022-10-16,0,872566,0,0
AC,2022-10-23,0,872566,0,0
AC,2022-10-30,0,872566,0,0.038201503763994164
AC,2022-11-06,1,872566,0.11460451129198249,0.038201503763994164
AC,2022-11-13,0,872566,0,0.038201503763994164
AC,2022-11-20,0,872566,0,0
AC,2022-11-27,0,872566,0,0
AC,2022-12-04,0,872566,0,0
AC,2022-12-11,0,872566,0,0
AC,2022-12-18,0,872566,0,0
AC,2022-12-25,0,872566,0,0
AC,2023-01-01,0,876582,0,0
AC,2023-01-08,0,876582,0,0
AC,2023-01-15,0,876582,0,0
AC,2023-01-22,0,876582,0,0
AC,2023-01-29,0,876582,0,0
AC,2023-02-05,0,876582,0,0.07605297241634744
AC,2023-02-12,2,876582,0.22815891724904233,0.15210594483269488
AC,2023-02-19,2,876582,0.22815891724904233,0.1901324310408686
AC,2023-02-26,1,876582,0.11407945862452117,0.11407945862452117
AC,2023-03-05,0,876582,0,0.07605297241634744
AC,2023-03-12,1,876582,0.11407945862452117,0.03802648620817372
AC,2023-03-19,0,876582,0,0.03802648620817372
AC,2023-03-26,0,876582,0,0.07605297241634744
AC,2023-04-02,2,876582,0.22815891724904233,0.19013243104086858
AC,2023-04-09,3,876582,0.3422383758735634,0.3042118896653897
AC,2023-04-16,3,876582,0.3422383758735634,0.22815891724904228
AC,2023-04-23,0,876582,0,0.11407945862452114
AC,2023-04-30,0,876582,0,0.03802648620817372
AC,2023-05-07,1,876582,0.11407945862452117,0.11407945862452117
AC,2023-05-14,2,876582,0.22815891724904233,0.15210594483269488
AC,2023-05-21,1,876582,0.11407945862452117,0.11407945862452117
AC,2023-05-28,0,876582,0,0.03802648620817372
AC,2023-06-04,0,876582,0,0
AC,2023-06-11,0,876582,0,0
AC,2023-06-18,0,876582,0,0
AC,2023-06-25,0,876582,0,0
AC,2023-07-02,0,876582,0,0.07605297241634744
AC,2023-07-09,2,876582,0.22815891724904233,0.07605297241634744
AC,2023-07-16,0,876582,0,0.07605297241634744
AC,2023-07-23,0,876582,0,0
AC,2023-07-30,0,876582,0,0.07605297241634744
AC,2023-08-06,2,876582,0.22815891724904233,0.07605297241634744
AC,2023-08-13,0,876582,0,0.07605297241634744
AC,2023-08-20,0,876582,0,0
AC,2023-08-27,0,876582,0,0
AC,2023-09-03,0,876582,0,0
AC,2023-09-10,0,876582,0,0
AC,2023-09-17,0,876582,0,0
AC,2023-09-24,0,876582,0,0
AC,2023-10-01,0,876582,0,0
AC,2023-10-08,0,876582,0,0.03802648620817372
AC,2023-10-15,1,876582,0.11407945862452117,0.03802648620817372
AC,2023-10-22,0,876582,0,0.03802648620817372
AC,2023-10-29,0,876582,0,0
AC,2023-11-05,0,876582,0,0
AC,2023-11-12,0,876582,0,0
AC,2023-11-19,0,876582,0,0.07605297241634744
AC,2023-11-26,2,876582,0.22815891724904233,0.15210594483269488
AC,2023-12-03,2,876582,0.22815891724904233,0.30421188966538976
AC,2023-12-10,4,876582,0.45631783449808466,0.22815891724904233
AC,2023-12-17,0,876582,0,0.22815891724904233
AC,2023-12-24,2,876582,0.22815891724904233,1.4069799897024275
AC,2023-12-31,35,876582,3.9927810518582403,1.861199748034805
AC,2024-01-07,12,880631,1.3626592749971327,2.201514887423137
AC,2024-01-14,11,880631,1.2491043354140383,1.4005109215248308
AC,2024-01-21,14,880631,1.5897691541633217,1.135549395830944
AC,2024-01-28,5,880631,0.567774697915472,0.9084395166647552
AC,2024-02-04,5,880631,0.567774697915472,0.4163681118046794
AC,2024-02-11,1,880631,0.11355493958309439,0.34066481874928317
AC,2024-02-18,3,880631,0.34066481874928317,0.45421975833237754
AC,2024-02-25,8,880631,0.9084395166647551,0.7570329305539626
AC,2024-03-03,9,880631,1.0219944562478496,0.9841428097201514
AC,2024-03-10,9,880631,1.0219944562478496,1.0598461027755477
AC,2024-03-17,10,880631,1.135549395830944,0.8705878701370571
AC,2024-03-24,4,880631,0.45421975833237754,0.6813296374985663
AC,2024-03-31,4,880631,0.45421975833237754,0.45421975833237754
AC,2024-04-07,4,880631,0.45421975833237754,0.4163681118046794
AC,2024-04-14,3,880631,0.34066481874928317,0.4163681118046794
AC,2024-04-21,4,880631,0.45421975833237754,0.3785164652769813
AC,2024-04-28,3,880631,0.34066481874928317,0.30281317222158505
AC,2024-05-05,1,880631,0.11355493958309439,0.2649615256938869
AC,2024-05-12,3,880631,0.34066481874928317,0.2649615256938869
AC,2024-05-19,3,880631,0.34066481874928317,0.4920714048600757
