draw,scenario,coverage,VE_infection,vaccination_start,vaccination_end,target_age,cumulative_eligible,cumulative_doses,cumulative_effectively_protected,infections_no_vaccine,infections_vaccine,infections_averted,reported_cases_no_vaccine,reported_cases_vaccine,reported_cases_averted,NNV_infection,NNV_reported_case,infections_direct_only_arm,direct_only_effect,indirect_effect,NNV_total_infection,NNV_direct_only_infection,NNV_indirect_infection
424,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248333,913032.0590248333,775701.63077119,2591516.9695589854,2061415.7825281206,530101.1870308649,129575.84847794927,103070.78912640603,26505.059351543245,1.7223731645250446,34.44746329050089,2505952.7693816097,85564.2001773757,444536.9868534892,1.7223731645250446,10.670725106202196,2.053894470035968
433,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248327,913032.0590248327,797812.9380002477,2304234.5191958314,1745615.3422701773,558619.176925654,115211.72595979157,87280.76711350887,27930.958846282705,1.6344445316927367,32.68889063385473,2226916.081133782,77318.43806204945,481300.7388636046,1.6344445316927367,11.808723532310726,1.8970094689249501
475,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248329,913032.0590248329,774172.4428364626,2644062.208209534,2142167.301918484,501894.90629105037,132203.11041047671,107108.3650959242,25094.74531455252,1.8191698054320615,36.38339610864123,2555498.63885352,88563.56935601402,413331.33693503635,1.8191698054320615,10.30934125243488,2.20895919916262
478,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248335,913032.0590248335,783899.0143228122,2499287.062506653,1960443.82997422,538843.232532433,124964.35312533265,98022.191498711,26942.16162662165,1.6944298525079426,33.88859705015885,2415722.4040312315,83564.65847542137,455278.57405701163,1.6944298525079426,10.926055053445602,2.005436036422176
479,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248331,913032.0590248331,786997.589368352,2444276.7804989656,1897163.3666729915,547113.4138259741,122213.83902494829,94858.16833364958,27355.670691298707,1.6688168046182295,33.37633609236459,2363120.367292579,81156.41320638685,465957.00061958726,1.6688168046182295,11.250276139027044,1.9594770715125347
480,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248337,913032.0590248337,792432.1131582676,2397405.322985964,1850750.9065535825,546654.4164323814,119870.2661492982,92537.54532767914,27332.72082161907,1.6702180236346293,33.40436047269259,2316698.2300618873,80707.0929240766,465947.3235083048,1.6702180236346293,11.312909757309042,1.9595177672665833
488,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248328,913032.0590248328,793257.5845600526,2364974.0804003812,1813977.7063835657,550996.3740168156,118248.70402001907,90698.88531917828,27549.81870084078,1.6570563838174521,33.14112767634904,2285711.363420224,79262.71698015742,471733.65703665814,1.6570563838174521,11.51906083730893,1.9354821209076494
492,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248333,913032.0590248333,789652.3277785489,2451512.72409809,1927258.7676250567,524253.9564730334,122575.63620490451,96362.93838125284,26212.697823651673,1.7415835355203424,34.83167071040685,2368317.7421785463,83194.98191954382,441058.9745534896,1.7415835355203424,10.974604933598135,2.0700906493267714
496,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248333,913032.0590248333,789236.495083221,2402128.792908081,1849746.1407541016,552382.6521539793,120106.43964540405,92487.30703770509,27619.132607698964,1.6528977792197594,33.05795558439519,2322372.165493748,79756.6274143327,472626.0247396466,1.6528977792197594,11.44772652285892,1.9318277268539987
501,stresstest_coverage1_VE1,1,1,2015-01-04,2021-12-26,12,913032.0590248335,913032.0590248335,800919.7452322274,2269580.587567781,1708850.116554487,560730.4710132941,113479.02937838907,85442.50582772435,28036.523550664704,1.628290428688308,32.56580857376616,2193075.729276679,76504.85829110211,484225.61272219196,1.628290428688308,11.934301682524959,1.8855509395548118
