t,week_start,doses_median,infections_averted_median,NNV_infection_median,NNV_infection_lo95,NNV_infection_hi95,NNV_reported_case_median,frac_draws_denominator_above_tol
184,2018-07-08,474558.436438244,715844.3376876975,0.6629352381704241,0.6150981478699946,0.7051865974968583,13.258704763408481,1
185,2018-07-15,477068.68375667476,715292.9666742346,0.6669556475307121,0.6190086761574862,0.7093398748787385,13.339112950614243,1
186,2018-07-22,479577.9728375961,714765.4932023268,0.6709584858196451,0.6228956761814309,0.7134812141379073,13.419169716392902,1
187,2018-07-29,482086.22217498196,714252.043139395,0.6749525285838659,0.6267636432077731,0.717616906624955,13.499050571677316,1
188,2018-08-05,484593.411108256,713754.5115914947,0.6789356898188965,0.6306122452122062,0.7217446189681737,13.57871379637793,1
189,2018-08-12,487099.559739952,713264.4431512712,0.6829158035997347,0.6344537565324752,0.725877269431186,13.658316071994694,1
190,2018-08-19,489604.6794853538,712801.762452529,0.6868735538590058,0.6382740702738454,0.7299976360077433,13.737471077180114,1
191,2018-08-26,492108.7596965685,712354.254878535,0.6908202714119982,0.6420857606814501,0.7341192988744808,13.816405428239964,1
192,2018-09-02,494611.7999490694,711913.2170087188,0.6947641768812189,0.6458865674359555,0.7382391680180833,13.895283537624376,1
193,2018-09-09,497113.7981151278,711477.968643131,0.6987058223899953,0.6496795598588297,0.7423596637056334,13.974116447799908,1
194,2018-09-16,499614.73175135464,711050.9429770901,0.702642671608513,0.6534590760845936,0.7464737522610972,14.05285343217026,1
195,2018-09-23,502114.5647924925,710640.3668436558,0.7065663485423103,0.6572210587344735,0.7505745511126465,14.131326970846207,1
196,2018-09-30,504613.35690370825,710252.959608719,0.7104699199634479,0.6609614454135497,0.7546555510107695,14.209398399268958,1
197,2018-10-07,507111.1163001057,709875.4118279109,0.7143663756752581,0.6646904937020692,0.7587293130514573,14.287327513505161,1
198,2018-10-14,509607.85617889283,709508.2991563131,0.7182549773119232,0.668410148742491,0.7627968851275153,14.365099546238465,1
199,2018-10-21,512103.5551660335,709152.45389862,0.7221346640706037,0.672113557731302,0.7668503186809422,14.442693281412073,1
200,2018-10-28,514598.17768227967,708799.9819375796,0.7260132728961693,0.6758094826361254,0.7708993707230573,14.520265457923385,1
201,2018-11-04,517091.74199889466,708461.978481515,0.7298793409153499,0.679489153902032,0.7749325105456446,14.597586818306995,1
202,2018-11-11,519584.2571153779,708144.6177027461,0.733726224031028,0.6831584415458128,0.7789554706787932,14.67452448062056,1
203,2018-11-18,522075.7390475521,707839.3170116027,0.7375625294437529,0.6868161067840257,0.7829657092466762,14.751250588875056,1
204,2018-11-25,524566.1959935725,707543.7286113463,0.7413905192379042,0.6904658933779183,0.786966038247042,14.827810384758084,1
205,2018-12-02,527055.6286264416,707281.5780456738,0.7451850200858874,0.6941170463237586,0.7909641715301811,14.903700401717746,1
206,2018-12-09,529544.0455092073,707020.9425856813,0.7489792962034907,0.6977788540701049,0.7949687366443153,14.979585924069816,1
207,2018-12-16,532031.4060915797,706751.8436639763,0.7527838956079688,0.7014609787256012,0.7989896354344128,15.055677912159375,1
208,2018-12-23,534517.7094228481,706474.534431652,0.7565986962577507,0.7051644568707792,0.8030256040783581,15.131973925155012,1
209,2018-12-30,537003.0197339559,706189.2610852891,0.7604236700609714,0.7088843467389587,0.8070695286379669,15.20847340121943,1
210,2019-01-06,539487.3454387174,705778.4576364065,0.76438625772446,0.7126940952385851,0.8111734792096014,15.2877251544892,1
211,2019-01-13,541970.645827237,705324.5173631174,0.768398996591374,0.7167436446424736,0.8153078436768839,15.367979931827481,1
212,2019-01-20,544452.9486560555,704826.8556102592,0.7724634014222539,0.7209795198806903,0.8194992849135476,15.449268028445076,1
213,2019-01-27,546934.222990574,704265.6124492636,0.7766021985865608,0.7253693661938737,0.8237545953961921,15.532043971731213,1
214,2019-02-03,549414.4755671202,703614.9837814713,0.7808453358967509,0.7299478933078135,0.8280872699221195,15.616906717935017,1
215,2019-02-10,551893.7299720644,702887.9345870853,0.785180263943123,0.7347597059442473,0.8325209268561423,15.70360527886246,1
216,2019-02-17,554371.9339990956,702038.6934577648,0.7896600898304049,0.7398679150490972,0.8370764849578394,15.793201796608097,1
217,2019-02-24,556849.067133602,700980.0739264225,0.7943864430416282,0.745290350231096,0.8417677709456081,15.887728860832564,1
218,2019-03-03,559325.1314203371,699811.6170348531,0.7992510026285191,0.7510412526430545,0.8466209437618152,15.985020052570384,1
219,2019-03-10,561800.1819541885,698389.3593093178,0.8044226045821337,0.7571923501615628,0.8516581227121265,16.088452091642672,1
220,2019-03-17,564274.1823484469,696774.2161857929,0.8098379205782611,0.7637732015496835,0.8568654508482147,16.19675841156522,1
221,2019-03-24,566747.1142198411,694966.1420208192,0.815503204061679,0.7707926664540291,0.8622655435337827,16.310064081233584,1
