muni7,muni6,lon,lat
1507607,150760,-47.61077144093256,-1.551537158058493
1507706,150770,-49.680299735798236,-1.4341090330097168
1507755,150775,-49.56976487627067,-6.838880185876003
1507805,150780,-51.77395006084349,-4.1692503681935165
1507904,150790,-48.697750774285595,-0.4479172614801351
1507953,150795,-48.73668388898351,-2.9077770101586142
1507961,150796,-47.8482943676605,-1.0025930384339978
1507979,150797,-56.45843399839161,-1.9515003417300287
1508001,150800,-48.267594757875315,-2.6360682073711685
1508035,150803,-46.93897182606746,-1.0409598972903837
1508050,150805,-56.00342845845272,-5.130189857737366
1508084,150808,-51.39136075477488,-6.820196978069624
1508100,150810,-49.82112296266891,-3.856268143536603
1508126,150812,-47.49358639420627,-3.8098437199652024
1508159,150815,-53.80735972796121,-3.5835422899548903
1508209,150820,-48.10493044449902,-0.9334132116676915
1508308,150830,-46.4529957674272,-1.523138074858525
1508357,150835,-51.97400979792619,-3.135248359122395
1508407,150840,-49.63511738013348,-6.917810799139891
1600055,160005,-52.26811721212872,1.651694591749326
1600105,160010,-50.59249108988839,1.7467828440092033
1600154,160015,-52.51950560645654,1.1575750178488775
1600204,160020,-51.40679530118794,2.4237112576203526
1600212,160021,-50.48709219801627,1.0355774937433204
1600238,160023,-51.417325469071145,0.9571076218203394
1600253,160025,-50.64025046378,0.5383866791725574
1600279,160027,-53.3102503461277,1.101242684919779
1600303,160030,-50.69182650187443,0.5627487875956431
1600402,160040,-51.95119186998028,-0.066834443055102985
1600501,160050,-51.89909168232498,3.111538171262556
1600535,160053,-51.66998273827923,0.5856314379338969
1600550,160055,-51.27855244233104,1.6258444309344284
1600600,160060,-51.37836476807644,0.1298058779368583
1600709,160070,-50.99261002327327,1.2975793889413518
1600808,160080,-52.06118040287143,-0.9964464053028628
1700251,170025,-49.31140750399272,-9.478790056097147
1700301,170030,-47.51337484289774,-6.488578711803086
1700350,170035,-48.90829797405349,-11.331218758197078
1700400,170040,-47.210851612687335,-11.42934782422792
1700707,170070,-49.111773696999315,-12.40747110810561
