uf_code,uf_name,year,<1,1-4,5-9,10-11,12-17,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+
24,3,2016,48064,195423,252822,107731,335096,120585,297961,309094,295461,262133,228699,217070,196051,151455,113982,99434,72424,54333,32235,32790
24,3,2017,47120,194086,250635,105236,329976,119422,298005,306084,300576,269095,233770,217917,201266,160007,118372,100137,76680,55017,34376,32892
24,3,2018,47917,192680,247866,102765,325951,117081,298542,302056,304789,275919,239860,218515,205473,168732,123787,100373,81298,55544,36769,33093
24,3,2019,47731,191944,245076,102633,321311,114115,298175,298449,307453,282425,246461,219799,208774,176889,130034,101207,85256,56651,38871,33599
24,3,2020,47536,190184,244661,101251,318130,110808,296079,296133,308197,288451,253221,222363,211310,183984,136938,103294,88004,58711,40416,34494
24,3,2021,47323,189675,243302,99219,315681,108490,292227,294941,307148,293966,260115,226131,213068,190081,144479,106465,89744,61580,41519,35749
24,3,2022,47044,189898,241029,98695,312374,107234,286408,295038,304199,299061,267025,231161,213948,195194,152705,110638,90470,65311,42144,37396
24,3,2023,46707,189039,240427,97802,307713,107412,280238,295625,300233,303262,273801,237187,214589,199335,161099,115764,90780,69337,42673,39257
24,3,2024,46354,188031,239513,97061,303335,107959,274330,295308,296692,305927,280259,243720,215897,202601,168953,121670,91635,72784,43668,41086
25,3,2015,58713,214693,302377,129120,411749,140232,343071,333592,321615,296659,259990,241882,210721,167448,140413,120509,89814,70311,40020,39608
25,3,2016,57291,217260,294034,128640,405364,139721,341899,332098,323526,302288,265262,244713,216889,173710,142909,122884,92360,71527,41915,39403
25,3,2017,56814,222225,284421,125558,399743,138698,340811,330610,324757,307002,271845,246669,222454,180928,145763,124574,95884,71869,44599,39213
25,3,2018,58096,227401,275237,121923,394476,137162,339636,329206,325278,310876,279175,248422,227364,188610,149179,125922,99869,71904,47537,39223
25,3,2019,57672,229609,271466,119675,386883,136112,338089,327971,325065,314086,286336,251000,231583,196023,153421,127446,103523,72475,50013,39679
25,3,2020,57228,228612,272351,116661,379778,134377,336002,326968,324118,316726,292722,255016,235156,202693,158602,129497,106400,74019,51693,40658
25,3,2021,56768,228586,273522,113111,373331,131042,333990,326092,322824,318717,298352,260288,238023,208749,164653,131963,108672,76353,52755,42114
25,3,2022,56254,228574,278028,107625,366239,128071,330581,325301,321528,320041,303079,266841,240046,214229,171610,134750,110355,79492,53199,44074
25,3,2023,55671,226769,284499,103151,357392,126974,325751,324420,320312,320660,306981,274122,241872,219086,179008,138059,111741,82999,53443,46293
25,3,2024,55048,224804,286300,106729,345298,126544,320396,323169,319258,320550,310226,281243,244497,223282,186158,142130,113286,86223,54111,48430
26,3,2015,143761,568235,733707,306184,980481,335421,801138,797998,767816,711464,630587,570063,491520,402752,324964,265086,191771,141005,81062,72729
26,3,2016,137679,569411,722988,303397,963099,337709,802912,793284,772679,722846,643026,579825,504904,415988,334031,272091,198425,144390,84853,73831
26,3,2017,135231,562662,718060,298478,945939,336210,808369,786592,776803,732577,657050,588388,517984,429818,344232,278102,206731,146749,89839,75025
26,3,2018,139484,555354,712099,293793,931219,330911,815056,779567,779606,740811,671863,596624,530557,443956,355434,283798,215866,148915,95261,76561
26,3,2019,138303,553045,706341,292094,914595,325602,819051,774829,780180,747911,686170,605874,542335,458013,367366,290235,224585,152096,100111,78781
26,3,2020,137095,547689,707015,286677,903556,317377,817972,773857,778075,754062,699133,616927,553216,471720,379837,298034,232220,156904,103921,81785
26,3,2021,135847,547185,702236,281599,893689,309048,813435,776198,773878,759251,710713,629518,563160,485080,392863,306967,239016,163054,106979,85533
26,3,2022,134507,547871,693165,282934,880905,305488,800726,782179,767695,763698,720653,643653,571922,498151,406458,316920,244965,170554,109307,90092
26,3,2023,133083,542974,690217,282998,869304,302256,785621,789365,761163,766817,729113,658554,580353,510727,420345,327781,250647,178732,111518,95098
26,3,2024,131667,537827,686834,280466,860635,299582,770870,793873,756885,767718,736439,672948,589759,522526,434156,339315,256983,186547,114513,100076
27,3,2015,52495,214110,286257,120911,394480,131604,297809,272144,261553,241041,207419,188233,156628,127944,104780,81002,58304,39601,23173,19734
