uf,state_name,ensemble_id,foi_pwmean,foi_equiv
AL,Alagoas,70,0.010199198233451072,0.010195446396024441
SE,Sergipe,70,0.011583861222285202,0.011582118036349289
BA,Bahia,70,0.01191351319252213,0.011908505067202065
MG,Minas Gerais,70,0.01599936835156344,0.0159968468526145
ES,Espirito Santo,70,0.014032121440778306,0.014029137855240579
RJ,Rio de Janeiro,70,0.013957515246672193,0.013953804742079754
SP,Sao Paulo,70,0.017254555613687744,0.01725295940264536
PR,Parana,70,0.015591733146087207,0.01559018610280386
SC,Santa Catarina,70,0.015548980072458921,0.015546937839503741
RS,Rio Grande do Sul,70,0.014843954442755512,0.014841745094071447
MS,Mato Grosso do Sul,70,0.012051276880443053,0.012048336231854653
MT,Mato Grosso,70,0.01075054351061427,0.010744421885519637
GO,Goias,70,0.012006172075969554,0.0120015615231648
DF,Distrito Federal,70,0.015974202485859998,0.015973457071740332
RO,Rondonia,71,0.005042000924593683,0.0050396643370537566
AC,Acre,71,0.004927732795571921,0.004926409593314339
AM,Amazonas,71,0.009834773382556575,0.009829911437855674
RR,Roraima,71,0.013779223895507517,0.013770645027158756
PA,Para,71,0.006823953749111845,0.006818658236079786
AP,Amapa,71,0.007337307604206632,0.007330968201937549
TO,Tocantins,71,0.004661883167804575,0.004659551070815081
MA,Maranhao,71,0.009453635910143083,0.00944560424881862
PI,Piaui,71,0.010367241851265103,0.01035904859760265
CE,Ceara,71,0.007305186026088198,0.0072990479367909655
RN,Rio Grande do Norte,71,0.007372637468537724,0.007368624006814001
PB,Paraiba,71,0.007671256449118429,0.0076676549804385145
PE,Pernambuco,71,0.007609318242736895,0.007606370418630066
AL,Alagoas,71,0.006359482693437736,0.006357816100210857
SE,Sergipe,71,0.0070452308028253864,0.007043159398007714
BA,Bahia,71,0.006911020097158783,0.0069072799025770345
MG,Minas Gerais,71,0.010273946297045724,0.010270927635342904
ES,Espirito Santo,71,0.009903481795085812,0.009898537524337978
RJ,Rio de Janeiro,71,0.009411743562349225,0.009408191204903969
SP,Sao Paulo,71,0.012475827515075998,0.01247383831788636
PR,Parana,71,0.011051292251260482,0.011050096297092431
SC,Santa Catarina,71,0.012188558371143424,0.012186017369767052
RS,Rio Grande do Sul,71,0.01135524465076157,0.011353579663540093
MS,Mato Grosso do Sul,71,0.007381799407050482,0.007378318892384369
MT,Mato Grosso,71,0.004995307819447124,0.004991242424652468
GO,Goias,71,0.006742024841079236,0.006737290343745779
DF,Distrito Federal,71,0.009014590108305591,0.009013323238176251
RO,Rondonia,72,0.006890492832460095,0.006885825136261276
