draw,cum_inf_A,cum_inf_B,cum_inf_C,peak_A,peak_B,peak_C,final_S_prop_A,final_S_prop_B,doses_B,infections_averted_B,pct_reduction_B,reported_cases_A,reported_cases_B
85,2633259.8479245724,2140575.097604165,2544996.1306953197,124309.25226118324,81059.00425030958,119971.20680054321,0.7235780421283833,0.6926448919076389,913032.0590248334,492684.75032040756,18.7100696009443,131662.99239622863,107028.75488020825
90,2670806.327120405,2177091.96674264,2580830.683466667,120164.76332862963,77442.91965932577,115971.10269731884,0.7196270474057987,0.6889852134921275,913032.0590248336,493714.36037776526,18.48559198637497,133540.31635602025,108854.598337132
94,2239204.7116360883,1667355.9688118235,2164412.381311315,91473.26368591546,58286.933264630665,88280.8526103066,0.764958598994514,0.7398305977832335,913032.059024833,571848.7428242648,25.538028740857733,111960.23558180442,83367.79844059118
95,2415015.033576078,1864410.0417242714,2335116.3334593885,109818.72326676536,71338.01744388093,105986.45266854104,0.7465235799443238,0.7203733371433404,913032.0590248335,550604.9918518064,22.799236617442002,120750.75167880389,93220.50208621357
100,2785954.2524551554,2316786.577120392,2692858.7294465452,136016.95556743562,89516.76635259372,131270.51180947063,0.7075502808892188,0.6751878455421333,913032.0590248338,469167.67533476325,16.84046588063331,139297.71262275777,115839.32885601961
122,2395338.6443935186,1842762.4429629552,2315438.4679923635,106527.77907654854,68155.967675771215,102810.07531680622,0.7485711753199804,0.7224066926175837,913032.0590248329,552576.2014305633,23.068813368995322,119766.93221967593,92138.12214814777
127,2413147.2734115627,1870149.8062002882,2332401.420502318,110463.18322520488,70346.93627982323,106608.0745195225,0.7466818792049223,0.719534445679254,913032.0590248337,542997.4672112744,22.501629850531966,120657.36367057814,93507.49031001441
128,2490422.776759764,1963547.8517205568,2406598.0240171035,118162.33440591086,74956.1307485991,114038.40872076798,0.7385365743533915,0.7101169563768506,913032.059024834,526874.9250392073,21.156043462014633,124521.13883798821,98177.39258602785
130,2495973.1685999655,1984899.744105301,2411256.3355937786,124048.94331904378,76659.46267353074,119719.20629280894,0.7379164295133778,0.7075466115894152,913032.059024833,511073.4244946644,20.475918207940285,124798.65842999828,99244.98720526506
133,2544961.3539955835,2022837.3217827755,2460188.586729215,114763.87180904539,75532.88535665134,110759.0050417195,0.7328572715165289,0.7045108694197441,913032.0590248335,522124.03221280803,20.51599060209989,127248.06769977917,101141.86608913878
150,2598340.607019538,2087992.1733705418,2511437.5548747955,120176.57816384178,78290.08450594758,115982.73121792967,0.7272512748345507,0.6979320733435413,913032.0590248335,510348.4336489963,19.64132155231174,129917.03035097691,104399.6086685271
153,2621830.9836725467,2115876.564656809,2533767.656647899,119733.20582469933,77847.46174464788,115554.71832548478,0.7247592522948856,0.695047592964653,913032.0590248336,505954.4190157377,19.29775115812457,131091.54918362733,105793.82823284046
158,2346156.07068926,1787991.7753817667,2267229.274610361,105125.83030713264,66111.14084071058,101456.74947928495,0.7536823421726686,0.7276396859642186,913032.0590248335,558164.2953074933,23.790586750842806,117307.803534463,89399.58876908834
159,2443823.343638379,1906703.1246246407,2361835.9043406206,109974.44973307736,70829.90224282414,106123.93769552799,0.7434576650967187,0.7158091050145362,913032.0590248338,537120.2190137384,21.978684359977944,122191.16718191897,95335.15623123205
161,2530913.8504358022,1998988.1255203835,2446058.0210305145,118503.92527202994,75516.0322908886,114368.10951686639,0.734298394965873,0.7067210002198759,913032.0590248337,531925.7249154188,21.017140698954474,126545.69252179012,99949.40627601917
169,2597532.964772812,2064367.7700711722,2512753.35241663,106333.33851579543,73625.1410858716,102623.43283364602,0.7274273348652971,0.7010963370288328,913032.059024834,533165.1947016399,20.525829775110175,129876.64823864061,103218.38850355861
188,2495084.425702704,1964279.9152120836,2411215.850323769,112821.78658461163,71764.58666413353,108884.31297819328,0.7380613217514239,0.7101401848892865,913032.0590248338,530804.5104906205,21.274010010347734,124754.22128513521,98213.99576060419
223,2447265.954866041,1912492.9588465623,2365222.4912207047,115871.4758455064,73963.13941810132,111827.62769858958,0.7431069242179953,0.7152937699659437,913032.0590248328,534772.9960194787,21.85185451365261,122363.29774330206,95624.64794232813
234,2569973.14379252,2069557.7118018738,2483558.604374188,121071.29711495481,77245.3516574835,116845.94327116011,0.7301881496158652,0.699431471631758,913032.0590248337,500415.43199064606,19.471621063408506,128498.657189626,103477.88559009369
246,2500051.9073894145,1964346.5633236011,2416958.743464551,109275.19222283148,71835.79776868375,105461.94227687817,0.737625607966953,0.7105200781670473,913032.0590248335,535705.3440658133,21.427768858815558,125002.59536947073,98217.32816618006
270,2556042.0859079566,2042023.7479184018,2470497.666156112,119789.36067587454,77406.49937960894,115608.92941920787,0.7316860546718456,0.7024210877435256,913032.0590248333,514018.33798955474,20.109932493813584,127802.10429539783,102101.1873959201
292,2316390.544406922,1751916.2995059052,2239291.1647087093,98802.26509609818,63342.48028974189,95381.5674392274,0.7568999513820936,0.731563358771079,913032.0590248336,564474.2449010168,24.36869923614466,115819.5272203461,87595.81497529527
297,2412638.8212961815,1874346.0027305079,2331457.8361771945,107769.29594929314,67969.89265778627,104008.03413782167,0.7467055368498413,0.7189418147626807,913032.0590248324,538292.8185656737,22.311371839589228,120631.94106480909,93717.3001365254
304,2523843.2961607445,2008753.0240038428,2438884.2425765987,119454.99535611754,75752.92195202858,115285.97914546292,0.7350196865458191,0.7055279872187513,913032.0590248331,515090.27215690166,20.408964096164524,126192.16480803723,100437.65120019215
322,2557387.1118020327,2038266.4213570748,2471802.0884958603,120783.23301581731,77597.71178398434,116568.09356972823,0.7315392797293222,0.7028335286289501,913032.0590248333,519120.69044495793,20.298870204251777,127869.35559010164,101913.32106785374
325,2565892.926925444,2040034.8494813775,2480295.968577473,114368.98665837098,75195.6400796433,110346.26477597415,0.7306482414395983,0.7028403343071302,913032.0590248335,525858.0774440665,20.494155150666042,128294.6463462722,102001.74247406889
330,2390588.592297885,1846173.8556567854,2310527.153106053,112223.50716293234,71770.69825908267,108275.9654403515,0.7490377813149469,0.7218911498748259,913032.0590248331,544414.7366410997,22.77325083852243,119529.42961489427,92308.69278283928
332,2414592.695099878,1868201.4901517746,2333545.9138942966,107248.29947534931,68161.23009173395,103505.322181994,0.7465050834819454,0.7197212759089343,913032.0590248336,546391.2049481035,22.6287110889111,120729.63475499391,93410.07450758874
339,2800600.391076852,2374154.912955314,2706076.0967625743,143902.95364806286,93122.10833819433,138880.7757552692,0.7059378932669231,0.6688447918500687,913032.0590248329,426445.4781215382,15.226930606746315,140030.0195538426,118707.7456477657
