draw,cum_X_A,cum_X_B,cum_X_C,total_effect,direct_only,indirect,indirect_fraction
1037,2622834.0374975502,2108000.2141247513,2535457.8405640665,514833.823372799,87376.1969334837,427457.62643931527,0.8302827184875666
1046,2554937.7794315023,2040419.1532297486,2468689.4054260952,514518.62620175374,86248.3740054071,428270.25219634664,0.8323707449774864
1049,2321712.8848321317,1757626.7540803943,2244334.416752443,564086.1307517374,77378.4680796885,486707.6626720489,0.8628250831542889
1065,2461773.121123763,1924942.608130782,2379481.4426731435,536830.5129929809,82291.67845061934,454538.83454236155,0.8467082692602175
1076,2323073.768833829,1759767.1279328016,2245313.5596584477,563306.6409010275,77760.20917538134,485546.43172564614,0.8619575848582198
1085,2399463.465517804,1850076.0238723217,2319806.062917052,549387.4416454823,79657.40260075219,469730.03904473013,0.8550068739063846
1094,2443698.933134466,1892782.9097714196,2362937.5403843583,550916.0233630463,80761.39275010768,470154.63061293866,0.8534052571985422
1100,2325811.8769489154,1759816.0000356475,2248638.4405398844,565995.8769132679,77173.43640903104,488822.44050423685,0.8636501791675473
1107,2536895.268652892,2008874.3824311246,2452087.422775386,528020.8862217676,84807.8458775063,443213.04034426133,0.839385433246125
1113,2549935.5207920535,2030693.8461307124,2464408.542083304,519241.6746613411,85526.97870874964,433714.6959525915,0.835284833859817
1115,2614482.893811218,2101393.719964012,2527351.533887487,513089.17384720594,87131.35992373107,425957.81392347487,0.8301828135050885
1116,2384254.6312406748,1830445.1981057604,2305336.857824441,553809.4331349144,78917.77341623371,474891.65971868066,0.8575001278517255
1133,2397671.4944173144,1853711.1533467474,2317263.2414704436,543960.341070567,80408.25294687087,463552.08812369616,0.8521799350507436
1136,2558411.1467072344,2025457.0161004346,2473493.0589426733,532954.1306067999,84918.08776456118,448036.0428422387,0.8406652976535206
1139,2474001.5951139587,1934436.5304010962,2391479.510084384,539565.0647128625,82522.08502957458,457042.9796832879,0.8470581391819911
1140,2486488.186543952,1948863.4363732752,2403195.0407827487,537624.750170677,83293.14576120349,454331.6044094735,0.8450719656512078
1157,2401388.8193191267,1851867.5721549634,2320984.4828893393,549521.2471641633,80404.33642978733,469116.91073437594,0.8536829342910421
1163,2595396.7786539025,2087730.5438833488,2508570.4772753585,507666.23477055365,86826.30137854395,420839.9333920097,0.8289697138952205
1169,2525210.118624722,1999098.045075113,2440841.1649492034,526112.0735496092,84368.95367551874,441743.1198740904,0.8396369178409222
1185,2718295.563226817,2225957.442579293,2627599.5481944713,492338.120647524,90696.0150323459,401642.1056151781,0.8157851053396753
1199,2380177.45351016,1830408.3106233836,2300305.830586113,549769.1428867765,79871.62292404706,469897.5199627294,0.854717886666665
1206,2405514.563768484,1864560.1640693685,2324811.58089098,540954.3996991157,80702.98287750408,460251.4168216116,0.8508137045887936
1207,2356877.2787021114,1797930.3077155594,2278514.309644822,558946.9709865521,78362.96905728942,480584.00192926265,0.8598024980456066
1217,2503551.6307156226,1970197.1313840533,2420039.978290756,533354.4993315693,83511.6524248668,449842.8469067025,0.8434218657018392
1219,2644348.2372302567,2170536.977868519,2554657.60436646,473811.2593617379,89690.63286379678,384120.6264979411,0.8107038803074935
1229,2246316.718708191,1674254.4484339731,2172187.7868271945,572062.2702742179,74128.93188099656,497933.3383932214,0.8704180720650169
1247,2454085.692144738,1907476.3214207334,2372779.5517640486,546609.3707240047,81306.14038068941,465303.2303433153,0.8512536653497244
1249,2400239.7839520695,1849455.0759507504,2319992.0702640153,550784.7080013191,80247.71368805412,470536.99431326496,0.8543029381130496
1264,2325472.3376159454,1761175.8129385277,2248052.0673755393,564296.5246774177,77420.27024040604,486876.25443701167,0.8628021494822006
1268,2500453.2846457823,1976940.5881926627,2416329.919620484,523512.6964531196,84123.3650252982,439389.3314278214,0.8393097902013702
1274,2433800.84681316,1890226.865251015,2352318.2587917065,543573.981562145,81482.58802145347,462091.3935406916,0.8500984396138949
1306,2587114.864166501,2090693.8596938553,2499922.1588894613,496421.0044726457,87192.70527703967,409228.299195606,0.8243573408629927
1308,2745988.7507658005,2268639.169574749,2654194.9163904143,477349.5811910513,91793.83437538613,385555.74681566516,0.8077010266849963
1313,2404766.980250989,1855285.1688084342,2324377.6149147195,549481.8114425549,80389.3653362696,469092.4461062853,0.8536996791118102
1325,2441315.3734858437,1898165.076432231,2359894.0370103796,543150.2970536125,81421.33647546405,461728.9605781485,0.8500942797653902
1328,2482793.6930908067,1960935.103519083,2398894.844597252,521858.5895717237,83898.84849355463,437959.7410781691,0.8392306840011806
1338,2536352.220285467,2005366.0829719251,2451703.610707197,530986.1373135417,84648.60957827,446337.5277352717,0.8405822607600659
1345,2654674.9167336565,2131301.7263756404,2567322.6285666297,523373.1903580162,87352.28816702683,436020.90219098935,0.8330975109610161
1348,2367155.9301052974,1804370.941703605,2288356.7776326993,562784.9884016924,78799.15247259801,483985.83592909435,0.8599835566041174
1356,2478980.7666549967,1943366.865492571,2396484.7541287243,535613.9011624258,82496.01252627233,453117.8886361534,0.8459785820583934
1357,2370399.524201633,1820990.227617344,2290535.242927388,549409.296584289,79864.28127424512,469545.01531004393,0.854636094127336
1360,2469568.659460254,1942693.874625188,2386793.1383587047,526874.784835066,82775.52110154927,444099.2637335167,0.8428933714725758
