week_start,t,Inew_age12_diff,Inew_0_11_diff,Inew_65plus_diff,X_total_diff
2021-05-23,334,-0.10622036064900264,-1.3312216943666613,-0.8482433751488401,-7.531555047290453
2021-05-30,335,-0.10766164981222381,-1.3527585921454204,-0.8624161321242241,-7.650038962049052
2021-06-06,336,-0.10810447666157508,-1.3615797814116632,-0.8686035115955946,-7.697388972984527
2021-06-13,337,-0.108958363689025,-1.3755888984669866,-0.8780959620440427,-7.773937844072748
2021-06-20,338,-0.10744832902524948,-1.3596932294873625,-0.868492829832519,-7.681465410967576
2021-06-27,339,-0.10466288277780578,-1.3274825405256507,-0.8484503622743915,-7.4969405934352835
2021-07-04,340,-0.10346251663409056,-1.3151196092126867,-0.8411360002364461,-7.425050373189379
2021-07-11,341,-0.10338412189951462,-1.31693914108547,-0.8428905491742569,-7.433269820318628
2021-07-18,342,-0.10198157376189343,-1.3017236201249744,-0.8337905300392379,-7.3457722061172035
2021-07-25,343,-0.10079437863731577,-1.2892064687502938,-0.8263701829711181,-7.273284842604994
2021-08-01,344,-0.0997486585195908,-1.2783428244893713,-0.820035204176861,-7.210440882790522
2021-08-08,345,-0.09928133990154109,-1.2747716096563835,-0.8183994314956209,-7.188964816403086
2021-08-15,346,-0.09659457593418708,-1.2426038440781326,-0.7983771504652282,-7.006200541235785
2021-08-22,347,-0.09700462509372354,-1.2500970096520803,-0.8038798983564703,-7.04749821845985
2021-08-29,348,-0.096679103090338,-1.2481793833667467,-0.8032707993759516,-7.035278352220871
2021-09-05,349,-0.09577231606608638,-1.2387139788351789,-0.7977880976092706,-6.9804554505913075
2021-09-12,350,-0.0951822871926824,-1.2333453576218858,-0.7948945607831632,-6.948434963745626
2021-09-19,351,-0.09574043147862721,-1.242923316162873,-0.8015734975718942,-7.0001600896169975
2021-09-26,352,-0.09565817748117844,-1.244090904079414,-0.8028820097612765,-7.004868052651204
2021-10-03,353,-0.0964434134437866,-1.2565004848477201,-0.8114691873700792,-7.072987731345734
2021-10-10,354,-0.09722097285593456,-1.2688621815641596,-0.820008085591752,-7.140599016570263
2021-10-17,355,-0.09919136095244951,-1.296747307783761,-0.838646670362138,-7.295877999373602
2021-10-24,356,-0.1010178454561812,-1.3227293547563619,-0.8561277242227732,-7.440736060542463
2021-10-31,357,-0.10345846790500524,-1.3568999203853878,-0.8788853921728474,-7.631202694733702
