"version","week_start","observed","expected","pearson_resid"
"v2.1",2015-10-25,0,0.128981750133319,-0.358822598013214
"v2.1",2015-11-01,0,0.160081469409384,-0.399662696110501
"v2.1",2015-11-08,0,0.205226675609697,-0.452382378514622
"v2.1",2015-11-15,0,0.271161736937741,-0.519764924768097
"v2.1",2015-11-22,0,0.368950449955167,-0.605879711425332
"v2.1",2015-11-29,1,0.514616892597531,0.67423795671883
"v2.1",2015-12-06,0,0.717026146238291,-0.84263488460143
"v2.1",2015-12-13,4,1.03977104759432,2.8825527938552
"v2.1",2015-12-20,0,1.42893367184555,-1.18381962935994
"v2.1",2015-12-27,0,2.03168062556837,-1.40588972317379
"v2.1",2016-01-03,4,2.95029181391885,0.599115405865694
"v2.1",2016-01-10,7,4.23186542908367,1.30813620032551
"v2.1",2016-01-17,5,5.83692094437343,-0.33330866298814
"v2.1",2016-01-24,6,7.9929645322769,-0.669154986513053
"v2.1",2016-01-31,22,11.8355802603542,2.74018628439055
"v2.1",2016-02-07,7,14.7630054596532,-1.84226273044649
"v2.1",2016-02-14,20,22.1885164202785,-0.406743805358552
"v2.1",2016-02-21,20,32.07387697354,-1.77627320944706
"v2.1",2016-02-28,55,53.7762493565532,0.126560037077366
"v2.1",2016-03-06,113,89.2750500295536,1.68290641716667
"v2.1",2016-03-13,132,126.580229563125,0.291096207792717
"v2.1",2016-03-20,166,176.056294535807,-0.409938896731289
"v2.1",2016-03-27,231,245.627628632227,-0.446285306429618
"v2.1",2016-04-03,353,355.061809185867,-0.0451365804975013
"v2.1",2016-04-10,484,504.905518630895,-0.330283992440432
"v2.1",2016-04-17,679,726.687428841528,-0.533838545622572
"v2.1",2016-04-24,1046,1060.78558976805,-0.115049290009404
"v2.1",2016-05-01,1585,1488.16901320562,0.542097905105171
"v2.1",2016-05-08,2067,1891.39369857448,0.777398720913116
"v2.1",2016-05-15,1924,2010.71298648535,-0.361491337545316
"v2.1",2016-05-22,2005,2104.94749535516,-0.398322144415051
"v2.1",2016-05-29,2236,2172.72074676126,0.244448742302418
"v2.1",2016-06-05,2036,2030.76355563787,0.0216180192542903
"v2.1",2016-06-12,1872,1856.84698407573,0.0683060112913317
"v2.1",2016-06-19,1490,1601.75853827224,-0.582262381686969
"v2.1",2016-06-26,1426,1454.73565354977,-0.164482605993292
"v2.1",2016-07-03,1238,1277.63453790692,-0.25746618046662
"v2.1",2016-07-10,1224,1170.12862668498,0.381157551220219
"v2.1",2016-07-17,961,977.456917941049,-0.138591966914207
"v2.1",2016-07-24,838,839.841413215954,-0.0179468585335199
"v2.1",2016-07-31,706,708.781219201056,-0.0318843582093983
"v2.1",2016-08-07,563,584.742711856969,-0.299195150607463
"v2.1",2016-08-14,510,503.37237392805,0.105007902283563
"v2.1",2016-08-21,435,424.639920819958,0.192338753125603
"v2.1",2016-08-28,360,353.760407278455,0.137055123118456
"v2.1",2016-09-04,268,286.402141612302,-0.489546546277293
"v2.1",2016-09-11,270,258.720007231774,0.328641029289868
"v2.1",2016-09-18,205,219.663265570368,-0.493626555586215
"v2.1",2016-09-25,203,206.084819665404,-0.10979340928279
"v2.1",2016-10-02,193,197.071823858321,-0.150653657638797
"v2.1",2016-10-09,196,198.062998087512,-0.0759983335702752
"v2.1",2016-10-16,221,210.947837991422,0.350580444119969
"v2.1",2016-10-23,183,212.996714271788,-1.03738672530873
"v2.1",2016-10-30,230,248.20925877174,-0.55043644503407
"v2.1",2016-11-06,268,287.638595037128,-0.520420527191956
"v2.1",2016-11-13,379,342.411419612309,0.827981450437802
"v2.1",2016-11-20,499,374.992299360509,2.58216067481099
"v2.1",2016-11-27,304,292.403394469984,0.30279978444239
