"version","quantity","week_start","q025","median","q975"
"v2","susceptible_proportion",2016-10-09,0.90335531364035,0.939599436873049,0.964408886977302
"v2","susceptible_proportion",2016-10-16,0.902740765029391,0.939216322944854,0.964177021754634
"v2","susceptible_proportion",2016-10-23,0.901988287323549,0.938785589013642,0.963955379883634
"v2","susceptible_proportion",2016-10-30,0.901352517053257,0.938346404733358,0.963733683081239
"v2","susceptible_proportion",2016-11-06,0.90053753486924,0.937857118189863,0.963436109251704
"v2","susceptible_proportion",2016-11-13,0.899623866968516,0.937312491808096,0.963095874523117
"v2","susceptible_proportion",2016-11-20,0.898583531693361,0.936560672164554,0.962735889586281
"v2","susceptible_proportion",2016-11-27,0.89750047893139,0.9358237975824,0.962328584168571
"v2","susceptible_proportion",2016-12-04,0.896680475848966,0.935259663740383,0.961987210373228
"v2","susceptible_proportion",2016-12-11,0.896016924747963,0.934760212742451,0.961695885474748
"v2","susceptible_proportion",2016-12-18,0.895501076768362,0.934373281409007,0.961472306848991
"v2","susceptible_proportion",2016-12-25,0.895050805874191,0.934079202558384,0.96125932563769
"v2","susceptible_proportion",2017-01-01,0.894640337553487,0.933799261661686,0.961092243882205
"v2","susceptible_proportion",2017-01-08,0.894088983729452,0.933408411143959,0.960824648537893
"v2","susceptible_proportion",2017-01-15,0.893373542758213,0.932948747899215,0.960533872811338
"v2","susceptible_proportion",2017-01-22,0.892446434898788,0.932331039534439,0.960181662878213
"v2","susceptible_proportion",2017-01-29,0.891342022714971,0.931626803214834,0.959795692772257
"v2","susceptible_proportion",2017-02-05,0.890041707241615,0.930725141350198,0.959265113496458
"v2","susceptible_proportion",2017-02-12,0.888403372497706,0.929659215073706,0.958740093217586
"v2","susceptible_proportion",2017-02-19,0.886183313141386,0.928363995551122,0.957888814644401
"v2","susceptible_proportion",2017-02-26,0.883056463153358,0.926638256529454,0.956855906806554
"v2","susceptible_proportion",2017-03-05,0.878920881189897,0.924013221804201,0.955275764945891
"v2","susceptible_proportion",2017-03-12,0.87313096443935,0.920158948830626,0.952958369417961
"v2","susceptible_proportion",2017-03-19,0.864390335682575,0.914451616038134,0.949244143495043
"v2","susceptible_proportion",2017-03-26,0.852660394314586,0.906697298201922,0.944777467486021
"v2","susceptible_proportion",2017-04-02,0.835909207371002,0.89583748462057,0.938135436843505
"v2","susceptible_proportion",2017-04-09,0.814566616421657,0.882265349120789,0.929890136512221
