state,wave_id,onset_week,peak_week,end_week,wave_end_censored,wave_order,is_recurrence,peak_incidence_raw,peak_incidence_smooth,peak_cases,preceding_trough_week,preceding_trough_incidence,trough_ratio,trough_duration_weeks,duration_weeks,weeks_onset_to_peak,total_cases,cumulative_incidence_per_100k,first4_cases,first6_cases,first8_cases,first4_nonzero_weeks,first6_nonzero_weeks,first8_nonzero_weeks,candidate_wave,major_epidemic_primary,major_epidemic_abs50,major_epidemic_abs100,major_epidemic_abs200,major_epidemic_inc2,major_epidemic_inc5,major_epidemic_inc10,re4_prefit_eligible,re6_prefit_eligible,re8_prefit_eligible,early_peak_flag,reporting_anomaly_flag,wave_definition_stable,major_wave_definition_stable,reason_not_major,reason_re6_not_eligible
PA,PA_wave_03,8/2/2015,8/9/2015,8/23/2015,FALSE,NA,NA,0.012297992,0.004099331,1,6/28/2015,0,0,5,4,1,1,0.012297992,1,1,1,1,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,too few nonzero raw incidence weeks; fewer than 30 raw cases; one week contains >=80% of early-window cases (backlog screen)
PA,PA_wave_04,4/24/2016,1/22/2017,10/8/2017,FALSE,1,FALSE,7.274184307,6.782794226,602,8/23/2015,0,0,11,77,39,8315,100.6292561,149,202,269,4,6,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA
PA,PA_wave_05,10/22/2017,3/11/2018,10/6/2019,FALSE,2,TRUE,2.662040632,2.670034748,222,10/8/2017,0.277917341,0.104087537,24,103,20,9418,112.7944121,205,299,409,4,6,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA
PA,PA_wave_06,10/20/2019,2/2/2020,5/10/2020,FALSE,NA,NA,0.094504649,0.133881586,8,10/6/2019,0.023796974,0.177746428,3,30,15,153,1.810732238,14,22,32,3,5,7,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,cumulative incidence below 5/100k,fewer than 30 raw cases
PA,PA_wave_07,5/17/2020,3/28/2021,8/1/2021,FALSE,NA,NA,0.046947514,0.078245856,4,5/10/2020,0.003937694,0.050324629,5,64,45,140,1.646211089,6,9,15,4,6,8,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,cumulative incidence below 5/100k,fewer than 30 raw cases
PA,PA_wave_08,8/8/2021,5/1/2022,7/17/2022,FALSE,NA,NA,0.070011301,0.066121784,6,8/1/2021,0,0,28,50,38,87,1.016257117,3,3,4,3,3,4,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,too few nonzero raw incidence weeks; fewer than 30 raw cases
PA,PA_wave_09,7/31/2022,6/18/2023,9/17/2023,FALSE,NA,NA,0.069636913,0.123798957,6,7/17/2022,0.003889517,0.058823529,4,60,46,190,2.206104886,6,8,9,3,5,6,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,cumulative incidence below 5/100k,fewer than 30 raw cases
PA,PA_wave_10,10/1/2023,4/21/2024,9/15/2024,FALSE,NA,NA,0.253915316,0.26160972,22,9/17/2023,0.003868717,0.03125,5,51,29,388,4.480079261,12,18,21,4,6,8,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,cumulative incidence below 5/100k,fewer than 30 raw cases
PA,PA_wave_11,10/13/2024,6/29/2025,12/28/2025,FALSE,NA,NA,0.229589599,0.206630639,20,9/15/2024,0,0,29,64,37,388,4.455280735,10,12,15,4,6,8,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,cumulative incidence below 5/100k,fewer than 30 raw cases
PB,PB_wave_01,1/25/2015,2/1/2015,2/15/2015,FALSE,NA,NA,0.025432098,0.008477366,1,1/18/2015,0,NA,NA,4,1,1,0.025432098,1,1,1,1,1,1,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,fewer than 100 total cases and cumulative incidence below 5/100k,too few nonzero raw incidence weeks; fewer than 30 raw cases; too few nonzero renewal infectiousness contributions; one week contains >=80% of early-window cases (backlog screen)
