UF,episode_id,window_weeks,week,Re_median,Re_lower,Re_upper,lag_spec,temperature,precipitation
PB,PB_wave_03,4,2016-02-28,2.277624474409375,1.5359909976523205,3.495187400934422,sensitivity_B,26.261669359422505,161.27484252251344
PB,PB_wave_03,6,2016-03-13,2.1902915892568937,1.5236389058431274,3.2433923760561076,sensitivity_B,26.714373333203852,162.52086050542977
PB,PB_wave_03,8,2016-03-27,2.067319080394655,1.5047695195823307,2.9381519441795008,sensitivity_B,26.859960567164745,103.07324037170994
PE,PE_wave_03,4,2015-12-20,2.0691847599880404,1.403641989241479,3.1841286749328583,sensitivity_B,26.8924431717446,17.31089571205517
PE,PE_wave_03,6,2016-01-03,2.287163301891378,1.6169073007702293,3.3689012417675075,sensitivity_B,25.86083079743991,24.63042120289939
PE,PE_wave_03,8,2016-01-17,2.215932628027864,1.6189926892479476,3.097368545683004,sensitivity_B,25.979535197395663,51.44237709351435
PI,PI_wave_03,4,2016-04-17,4.397527921365161,2.974089764284827,6.735170645063435,sensitivity_B,27.139109735219467,276.0518519194764
PI,PI_wave_03,6,2016-05-01,3.461448641112203,2.4009024016756473,5.101402581321242,sensitivity_B,28.175184260476158,303.4975208585491
PI,PI_wave_03,8,2016-05-15,2.890568143093903,2.072860442896083,4.1243952504563675,sensitivity_B,28.40254664161562,178.76466464038253
PR,PR_wave_17,4,2023-02-12,2.003722334734676,1.2337056311023986,3.31563449207191,sensitivity_B,23.035057128487285,198.6061964243056
PR,PR_wave_17,6,2023-02-26,2.343476213922807,1.580632186384457,3.561796488253162,sensitivity_B,21.840399540315214,290.24118981722404
PR,PR_wave_17,8,2023-03-12,2.6454287158712244,1.8830074067822984,3.792595464997905,sensitivity_B,21.758279779808376,324.80324268186496
RJ,RJ_wave_04,4,2015-12-27,2.1870933562988526,1.27887641080527,3.815324704653251,sensitivity_B,26.31238017899954,311.61383347298295
RJ,RJ_wave_04,6,2016-01-10,1.7907344032820705,1.106719491458759,2.9641901412356786,sensitivity_B,26.658501654136945,254.39496645391068
RJ,RJ_wave_04,8,2016-01-24,1.9122068538276484,1.2722572682819226,2.8952482197125566,sensitivity_B,24.46379035490862,232.98505051316903
RN,RN_wave_03,4,2016-02-14,3.658608227083895,2.495419461425898,5.579136567877315,sensitivity_B,26.463544368803614,176.2921618772614
RN,RN_wave_03,6,2016-02-28,2.915973016595274,2.0301429457351756,4.33699736599314,sensitivity_B,26.78126437600711,183.49675491603602
RN,RN_wave_03,8,2016-03-13,2.576270867948228,1.865533881184669,3.64879625950911,sensitivity_B,27.34148999228586,191.84263364726206
RR,RR_wave_03,4,2017-02-19,1.8648007517606944,1.2379350706217778,2.8691755458100223,sensitivity_B,26.093514285517497,156.67578301836093
RR,RR_wave_03,6,2017-03-05,1.7062771432678572,1.1766453091622644,2.555758235145154,sensitivity_B,26.335606512795717,142.00044783248626
RR,RR_wave_03,8,2017-03-19,1.5147691724619068,1.075952828089676,2.2022528246015094,sensitivity_B,26.244382798710788,194.62468819540882
SC,SC_wave_19,4,2025-02-16,2.2864696370997555,1.432893590120133,3.717249079406561,sensitivity_B,24.370305044351188,249.99373487072216
SC,SC_wave_19,6,2025-03-02,2.594796277783251,1.763571179803003,3.939367504416715,sensitivity_B,24.8620094510586,259.95331794657375
SC,SC_wave_19,8,2025-03-16,2.5395954534540426,1.8269874250697715,3.6130589583621657,sensitivity_B,24.14984143604087,278.90417595498104
SP,SP_wave_06,4,2021-01-31,3.9476869923633497,2.7431226032639717,5.87600138391863,sensitivity_B,23.872399883769994,376.4156863695325
SP,SP_wave_06,6,2021-02-14,3.3729086088513194,2.3837129986977477,4.909400182430123,sensitivity_B,23.482075569765065,301.95350814844375
SP,SP_wave_06,8,2021-02-28,3.0051958827473,2.2231106576718704,4.2050612051850935,sensitivity_B,22.36056452286926,283.7566573547733
