state,anchor_week,temperature_summary,precipitation_summary,S_week,climate_in_training_support,R_climate_hat,R_climate_lower,R_climate_upper,S_pre_median,S_pre_lower,S_pre_upper,first_wave_end,R_pred_median,opportunity_id,state_name,outcome_followup_start,outcome_followup_end_6w,outcome_followup_end_8w,outcome_followup_complete_8w,major_wave_onset_next_6w,major_wave_onset_next_8w,n_major_wave_onsets_next_8w,outcome_episode_id,outcome_episode_onset,outcome_episode_end,outcome_Re_early_6_median,outcome_Re_early_6_lower,outcome_Re_early_6_upper,outcome_reported_cumulative_incidence_per_100k,outcome_status_8w
BA,2017-10-29,24.983669451550632,41.61826781973711,2017-09-17,TRUE,2.0561487033510213,1.75877251535733,2.4038057528054635,0.9931536794845295,0.9865305388105828,0.996444361598532,2016-08-28,2.0420716503004113,BA_20171029,Bahia,2017-11-05,2017-12-10,2017-12-24,TRUE,TRUE,TRUE,1,BA_wave_04,2017-11-12,2018-12-16,1.3694102602910896,0.9280394745589228,2.074337148908747,23.12276521,Major wave within 8 weeks
BA,2017-11-05,25.068029274960036,30.966371185506894,2017-09-24,TRUE,2.038804406264689,1.737723960013563,2.392050465237222,0.9931436983554062,0.9865138868309634,0.9964403430399545,2016-08-28,2.0248257482610112,BA_20171105,Bahia,2017-11-12,2017-12-17,2017-12-31,TRUE,TRUE,TRUE,1,BA_wave_04,2017-11-12,2018-12-16,1.3694102602910896,0.9280394745589228,2.074337148908747,23.12276521,Major wave within 8 weeks
BA,2017-11-12,24.924194339052672,51.153787688524766,2017-10-01,TRUE,2.072225792644493,1.7780684173688364,2.4150475278423107,0.993135666030621,0.9864993610222025,0.9964368091495793,2016-08-28,2.05800134274382,BA_20171112,Bahia,2017-11-19,2017-12-24,2018-01-07,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0,No major wave within 8 weeks
BA,2017-11-19,24.988356935066665,60.74666592560937,2017-10-08,TRUE,2.091843413123216,1.803013225935285,2.4269421888223275,0.993128713149311,0.9864863843014314,0.9964336190957614,2016-08-28,2.077469756984922,BA_20171119,Bahia,2017-11-26,2017-12-31,2018-01-14,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0,No major wave within 8 weeks
BA,2017-11-26,25.330440637609026,85.94119224429299,2017-10-15,TRUE,2.1490241791561107,1.8747918036289166,2.4633694864988387,0.9931227381016972,0.9864744242942375,0.9964306434035453,2016-08-28,2.134244777050269,BA_20171126,Bahia,2017-12-03,2018-01-07,2018-01-21,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0,No major wave within 8 weeks
BA,2017-12-03,25.967095514788422,84.34360926475625,2017-10-22,TRUE,2.163504926398721,1.8872567309927806,2.4801890965249074,0.9931176406925094,0.9864634075147266,0.9964275283714862,2016-08-28,2.148614908131719,BA_20171203,Bahia,2017-12-10,2018-01-14,2018-01-28,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0,No major wave within 8 weeks
BA,2017-12-10,25.838401504275794,85.73050446686618,2017-10-29,TRUE,2.162632035508958,1.888289379959213,2.4768329317779894,0.9931128027801124,0.9864527489316064,0.996423587886522,2016-08-28,2.147737562166361,BA_20171210,Bahia,2017-12-17,2018-01-21,2018-02-04,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0,No major wave within 8 weeks
BA,2017-12-17,25.551601926775152,75.10376829703148,2017-11-05,TRUE,2.134275495238801,1.8569921876092297,2.452962333374864,0.9931083242153873,0.986442170600914,0.9964195906801211,2016-08-28,2.1195667604905712,BA_20171217,Bahia,2017-12-24,2018-01-28,2018-02-11,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0,No major wave within 8 weeks
BA,2017-12-24,25.379797090296314,103.2010331603858,2017-11-12,TRUE,2.183919460803213,1.915745700311196,2.4896332589968657,0.9931020187645825,0.9864316214727972,0.996415506360021,2016-08-28,2.168854825342929,BA_20171224,Bahia,2017-12-31,2018-02-04,2018-02-18,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0,No major wave within 8 weeks
BA,2017-12-31,25.955483686910938,84.96981240326681,2017-11-19,TRUE,2.164398331594013,1.88852090297097,2.4805762702637977,0.9930952444398065,0.9864205747381113,0.9964111761969661,2016-08-28,2.1494536901794654,BA_20171231,Bahia,2018-01-07,2018-02-11,2018-02-25,TRUE,FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,0,No major wave within 8 weeks
