state,ensemble_id,foi_pwmean_grid,foi_equiv_grid,foi_pwmean_existing,foi_equiv_existing,pwmean_difference,equivalent_difference,pwmean_abs_difference,equivalent_abs_difference,max_temporal_weight_mean_deviation,aggregation_status
AC,99,0.0057823943054881605,0.005778552990075617,0.00578239430548815,0.00577855299007561,1.0408340855860843e-17,6.938893903907228e-18,1.0408340855860843e-17,6.938893903907228e-18,8.881784197001252e-16,NA
AC,100,0.005657297600506375,0.005656068823268516,0.00565729760050638,0.0056560688232685,-5.204170427930421e-18,1.6479873021779667e-17,5.204170427930421e-18,1.6479873021779667e-17,8.881784197001252e-16,NA
AL,1,0.007791237454226976,0.007788011192891848,0.00779123745422697,0.00778801119289185,6.071532165918825e-18,-1.734723475976807e-18,6.071532165918825e-18,1.734723475976807e-18,6.661338147750939e-16,NA
AL,2,0.00730966455184877,0.007305835805894141,0.00730966455184876,0.00730583580589414,1.0408340855860843e-17,8.673617379884035e-19,1.0408340855860843e-17,8.673617379884035e-19,6.661338147750939e-16,NA
AL,3,0.010855275738950298,0.010846002746649276,0.01085527573895029,0.01084600274664926,8.673617379884035e-18,1.5612511283791264e-17,8.673617379884035e-18,1.5612511283791264e-17,6.661338147750939e-16,NA
AL,4,0.008757647104747912,0.008753636187297817,0.00875764710474791,0.00875363618729781,1.734723475976807e-18,6.938893903907228e-18,1.734723475976807e-18,6.938893903907228e-18,6.661338147750939e-16,NA
AL,5,0.010637569270526327,0.010623228607871783,0.01063756927052632,0.01062322860787178,6.938893903907228e-18,3.469446951953614e-18,6.938893903907228e-18,3.469446951953614e-18,6.661338147750939e-16,NA
AL,6,0.009100705684657968,0.009093482472605777,0.00910070568465797,0.00909348247260577,-1.734723475976807e-18,6.938893903907228e-18,1.734723475976807e-18,6.938893903907228e-18,6.661338147750939e-16,NA
AL,7,0.010428330550948517,0.010423072456148293,0.0104283305509485,0.01042307245614828,1.734723475976807e-17,1.214306433183765e-17,1.734723475976807e-17,1.214306433183765e-17,6.661338147750939e-16,NA
AL,8,0.00690894701234591,0.006905094234737003,0.00690894701234591,0.00690509423473701,0,-6.938893903907228e-18,0,6.938893903907228e-18,6.661338147750939e-16,NA
AL,9,0.006922138849263678,0.006918891731897463,0.00692213884926367,0.00691889173189746,7.806255641895632e-18,2.6020852139652106e-18,7.806255641895632e-18,2.6020852139652106e-18,6.661338147750939e-16,NA
AL,10,0.010208502956041473,0.010199864484907856,0.01020850295604146,0.01019986448490786,1.214306433183765e-17,-3.469446951953614e-18,1.214306433183765e-17,3.469446951953614e-18,6.661338147750939e-16,NA
AL,11,0.009243525008858349,0.009240473029140692,0.00924352500885834,0.00924047302914068,8.673617379884035e-18,1.214306433183765e-17,8.673617379884035e-18,1.214306433183765e-17,6.661338147750939e-16,NA
AL,12,0.006292500188347037,0.00629033831490186,0.00629250018834703,0.00629033831490186,6.938893903907228e-18,0,6.938893903907228e-18,0,6.661338147750939e-16,NA
AL,13,0.007780988241347753,0.007775717893715172,0.00778098824134776,0.00777571789371518,-6.938893903907228e-18,-7.806255641895632e-18,6.938893903907228e-18,7.806255641895632e-18,6.661338147750939e-16,NA
AL,14,0.00896681191877856,0.008963007326918852,0.00896681191877856,0.00896300732691885,0,1.734723475976807e-18,0,1.734723475976807e-18,6.661338147750939e-16,NA
