uf,ensemble_id,population_valid_member
MT,64,3856895.956432085
GO,64,7355714.437435157
DF,64,3202296.1569077363
RO,65,1847002.224805989
AC,65,1043746.7574866614
AM,65,4421603.470109693
RR,65,642204.9111020697
PA,65,9101773.136145487
AP,65,809802.386247158
TO,65,1694476.827267029
MA,65,6976988.781082074
PI,65,3445902.713711337
CE,65,9231781.187078971
RN,65,3507821.7576041836
PB,65,3955894.870931454
PE,65,8629317.96753044
AL,65,3240735.70037111
SE,65,2355418.1888673343
BA,65,11954097.590811327
MG,65,21621219.42816297
ES,65,3526464.369977629
RJ,65,14734392.121075094
SP,65,44800008.41187476
PR,65,11565177.68314045
SC,65,6731200.931452617
RS,65,11148654.159974465
MS,65,3016644.6672508125
MT,65,3856895.956432085
GO,65,7355714.437435157
DF,65,3202296.1569077363
RO,66,1847002.224805989
AC,66,1043746.7574866614
AM,66,4421603.470109693
RR,66,642204.9111020697
PA,66,9101773.136145487
AP,66,809802.386247158
TO,66,1694476.827267029
MA,66,6976988.781082074
PI,66,3445902.713711337
CE,66,9231781.187078971
RN,66,3507821.7576041836
PB,66,3955894.870931454
PE,66,8629317.96753044
AL,66,3240735.70037111
SE,66,2355418.1888673343
BA,66,11954097.590811327
MG,66,21621219.42816297
ES,66,3526464.369977629
RJ,66,14734392.121075094
SP,66,44800008.41187476
PR,66,11565177.68314045
SC,66,6731200.931452617
RS,66,11148654.159974465
MS,66,3016644.6672508125
MT,66,3856895.956432085
GO,66,7355714.437435157
DF,66,3202296.1569077363
RO,67,1847002.224805989
AC,67,1043746.7574866614
AM,67,4421603.470109693
RR,67,642204.9111020697
PA,67,9101773.136145487
AP,67,809802.386247158
TO,67,1694476.827267029
MA,67,6976988.781082074
PI,67,3445902.713711337
CE,67,9231781.187078971
RN,67,3507821.7576041836
PB,67,3955894.870931454
PE,67,8629317.96753044
AL,67,3240735.70037111
SE,67,2355418.1888673343
BA,67,11954097.590811327
MG,67,21621219.42816297
ES,67,3526464.369977629
RJ,67,14734392.121075094
SP,67,44800008.41187476
PR,67,11565177.68314045
SC,67,6731200.931452617
RS,67,11148654.159974465
MS,67,3016644.6672508125
MT,67,3856895.956432085
GO,67,7355714.437435157
DF,67,3202296.1569077363
RO,68,1847002.224805989
AC,68,1043746.7574866614
AM,68,4421603.470109693
RR,68,642204.9111020697
PA,68,9101773.136145487
AP,68,809802.386247158
TO,68,1694476.827267029
MA,68,6976988.781082074
PI,68,3445902.713711337
CE,68,9231781.187078971
RN,68,3507821.7576041836
PB,68,3955894.870931454
PE,68,8629317.96753044
AL,68,3240735.70037111
SE,68,2355418.1888673343
BA,68,11954097.590811327
MG,68,21621219.42816297
ES,68,3526464.369977629
RJ,68,14734392.121075094
SP,68,44800008.41187476
PR,68,11565177.68314045
SC,68,6731200.931452617
RS,68,11148654.159974465
MS,68,3016644.6672508125
MT,68,3856895.956432085
GO,68,7355714.437435157
DF,68,3202296.1569077363
RO,69,1847002.224805989
AC,69,1043746.7574866614
AM,69,4421603.470109693
RR,69,642204.9111020697
PA,69,9101773.136145487
AP,69,809802.386247158
TO,69,1694476.827267029
MA,69,6976988.781082074
PI,69,3445902.713711337
CE,69,9231781.187078971
RN,69,3507821.7576041836
PB,69,3955894.870931454
PE,69,8629317.96753044
AL,69,3240735.70037111
SE,69,2355418.1888673343
BA,69,11954097.590811327
MG,69,21621219.42816297
ES,69,3526464.369977629
RJ,69,14734392.121075094
SP,69,44800008.41187476
PR,69,11565177.68314045
SC,69,6731200.931452617
RS,69,11148654.159974465
MS,69,3016644.6672508125
MT,69,3856895.956432085
GO,69,7355714.437435157
DF,69,3202296.1569077363
RO,70,1847002.224805989
AC,70,1043746.7574866614
AM,70,4421603.470109693
RR,70,642204.9111020697
PA,70,9101773.136145487
AP,70,809802.386247158
TO,70,1694476.827267029
MA,70,6976988.781082074
PI,70,3445902.713711337
CE,70,9231781.187078971
RN,70,3507821.7576041836
PB,70,3955894.870931454
PE,70,8629317.96753044
AL,70,3240735.70037111
SE,70,2355418.1888673343
BA,70,11954097.590811327
MG,70,21621219.42816297
ES,70,3526464.369977629
RJ,70,14734392.121075094
SP,70,44800008.41187476
PR,70,11565177.68314045
SC,70,6731200.931452617
RS,70,11148654.159974465
MS,70,3016644.6672508125
MT,70,3856895.956432085
GO,70,7355714.437435157
DF,70,3202296.1569077363
RO,71,1847002.224805989
AC,71,1043746.7574866614
AM,71,4421603.470109693
RR,71,642204.9111020697
PA,71,9101773.136145487
AP,71,809802.386247158
TO,71,1694476.827267029
MA,71,6976988.781082074
PI,71,3445902.713711337
CE,71,9231781.187078971
RN,71,3507821.7576041836
PB,71,3955894.870931454
PE,71,8629317.96753044
AL,71,3240735.70037111
SE,71,2355418.1888673343
BA,71,11954097.590811327
MG,71,21621219.42816297
ES,71,3526464.369977629
RJ,71,14734392.121075094
SP,71,44800008.41187476
PR,71,11565177.68314045
SC,71,6731200.931452617
RS,71,11148654.159974465
MS,71,3016644.6672508125
MT,71,3856895.956432085
GO,71,7355714.437435157
DF,71,3202296.1569077363
RO,72,1847002.224805989
AC,72,1043746.7574866614
AM,72,4421603.470109693
RR,72,642204.9111020697
PA,72,9101773.136145487
AP,72,809802.386247158
TO,72,1694476.827267029
MA,72,6976988.781082074
PI,72,3445902.713711337
CE,72,9231781.187078971
RN,72,3507821.7576041836
PB,72,3955894.870931454
PE,72,8629317.96753044
AL,72,3240735.70037111
SE,72,2355418.1888673343
BA,72,11954097.590811327
MG,72,21621219.42816297
ES,72,3526464.369977629
RJ,72,14734392.121075094
SP,72,44800008.41187476
PR,72,11565177.68314045
SC,72,6731200.931452617
RS,72,11148654.159974465
MS,72,3016644.6672508125
MT,72,3856895.956432085
GO,72,7355714.437435157
DF,72,3202296.1569077363
RO,73,1847002.224805989
AC,73,1043746.7574866614
AM,73,4421603.470109693
RR,73,642204.9111020697
PA,73,9101773.136145487
AP,73,809802.386247158
TO,73,1694476.827267029
MA,73,6976988.781082074
PI,73,3445902.713711337
CE,73,9231781.187078971
RN,73,3507821.7576041836
PB,73,3955894.870931454
PE,73,8629317.96753044
AL,73,3240735.70037111
SE,73,2355418.1888673343
BA,73,11954097.590811327
MG,73,21621219.42816297
ES,73,3526464.369977629
RJ,73,14734392.121075094
SP,73,44800008.41187476
PR,73,11565177.68314045
SC,73,6731200.931452617
RS,73,11148654.159974465
MS,73,3016644.6672508125
MT,73,3856895.956432085
GO,73,7355714.437435157
DF,73,3202296.1569077363
RO,74,1847002.224805989
AC,74,1043746.7574866614
AM,74,4421603.470109693
RR,74,642204.9111020697
PA,74,9101773.136145487
AP,74,809802.386247158
TO,74,1694476.827267029
MA,74,6976988.781082074
PI,74,3445902.713711337
